Abundance,1000IBD00135,1000IBD00599,1000IBD00046,1000IBD00556,1000IBD00269,1000IBD00563,1000IBD00689,1000IBD00613,1000IBD00680,1000IBD00060,1000IBD00407,1000IBD00610,1000IBD00132,1000IBD00670,1000IBD00565,1000IBD00682,1000IBD00017,1000IBD00256,1000IBD00577,1000IBD00387,1000IBD00053,1000IBD00645,1000IBD00121
g__Anaerofustis,,,,,0.00482,0,0,0,0,0.02285,0,0,0,0.01021,0,0,0,0,0,0,0,0,0
g__GGB3463,,,,,0.00474,0.01478,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00423,0,0,0
g__GGB9534,,,,,0.00382,0,0,0,0,0,0.02247,0,0,0,0,0,0,0,0,0,0,0,0.01534
g__Candidatus_Protoclostridium,,,,,0.00252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB3277_SGB4327,,,,,3.50353,0,0,0.07829,2.34095,0,0,0,0,0,0,0,0,0,2.18411,1.75109,0,0,0
s__Ruminococcus_callidus,,,,,1.86636,0,0,1.67088,0,0,0.17954,0,0.65312,0,0,0.98474,0,0,0,0,0,0,0.13983
s__GGB4596_SGB6358,,,,,1.16871,0,0,0,0.83414,0,0,0,0.09469,0,0,0,0,0,0,0,0,0,0
s__Staphylococcus_SGB6340,,,,,0.96791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Sanguibacter_SGB15121,,,,,0.70841,0,0,0,0,0,0.47475,0,0,0.23489,0,0,0,0.23508,0,0,0.98725,0,0.40127
s__Eubacterium_sp_ER2,,,,,0.67843,0,0,0,0,0,0.04943,0,0,0.9343,0,0,0,0,0,0,0.05806,0,0
s__Butyricimonas_SGB15260,,,,,0.64484,0,0.33166,0,0,0,0,0,0.02257,0,0,0.25025,0,0,0,0,0,0,0.00856
s__Clostridiales_bacterium_UBA1390,,,,,0.50749,0.09685,0.0604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00802
s__GGB4710_SGB6522,,,,,0.48255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01858
s__GGB3653_SGB4964,,,,,0.37034,0,0.92758,1.03628,0.07497,0,0.10043,0,0.1804,0,0,0.00299,0,0.04495,0.04919,0,0,0,0.07832
s__GGB9186_SGB14125,,,,,0.36236,0,0,0,0.01512,0,0,0,0,0.06552,0.02222,0,0,0,0,0,0,0,0.06925
s__Oscillibacter_sp_ER4,,,,,0.32918,0.88045,0.40874,0.80889,0.28197,0,0.24833,0,0.55159,0,0,0.67208,0,0.85874,0.96431,0,0,0,0.16955
s__Collinsella_intestinalis,,,,,0.22143,0.00068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Parabacteroides_faecis,,,,,0.16516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB3000_SGB3991,,,,,0.14771,0,0,0,0.02352,0,0.00099,0,0.01251,0,0,0,0,0,0,0,0,0,0.00291
s__Lachnoclostridium_sp_An118,,,,,0.12194,0,0,0,0,0,0.02101,0,0,0.05147,0,0,0,0,0,0,0,0,0
s__GGB9501_SGB14898,,,,,0.10177,0,0,0,0.01323,0,0.0274,0,0,0,0,0,0,0,0,0.01318,0,0,0.16098
s__GGB9734_SGB15304,,,,,0.08051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Alistipes_indistinctus,,,,,0.07489,0,1.28344,0,0,0,0.69149,0,0,0,0,0.00992,0,0,0,0.11965,0,0,0
s__GGB51269_SGB5062,,,,,0.07468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB4566_SGB6305,,,,,0.07164,0,0,0,0,0,0,0,0.03682,0,0,0.01867,0,0.07042,0,0,0,0,0
s__Isoptericola_variabilis,,,,,0.06752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00276,0.00494
s__Streptococcus_anginosus,,,,,0.05954,0,0.05644,0,0,0,0,0.02343,0,0,0.01506,0,0,0,0,0,0,0,0
s__GGB3033_SGB4028,,,,,0.05637,0,0,0,0,0,0.00892,0,0,0,0,0,0,0,0,0,0,0,0.07722
s__Streptococcus_sobrinus,,,,,0.05315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Limosilactobacillus_fermentum,,,,,0.05154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Blautia_sp_An249,,,,,0.0483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Christensenella_hongkongensis,,,,,0.04419,0,0,0,0,0,0,0,0,0,0.00039,0,0,0,0,0,0,0,0
s__GGB3817_SGB5182,,,,,0.03937,0,0,0,0,0,0,0,0,0.0342,0,0,0,0,0,0,0,0,0
s__Corynebacterium_SGB6369,,,,,0.03896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Candidatus_Pseudoscilispira_faecavium,,,,,0.03742,0,0,0,0.0126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB9559_SGB14969,,,,,0.03663,0,0.32839,0.03519,0,0,0,0,0.02691,0,0.01751,0,0,0,0,0,0,0,0
s__GGB9522_SGB14921,,,,,0.03603,0,0,0,0,0,0.14828,0,0.07613,0,0,0.08616,0,0,0,0.16743,0,0,0.0255
s__GGB42689_SGB59892,,,,,0.03512,0,0,0,0,0,0,0,0,0.02079,0,0,0,0,0,0,0.01965,0,0
s__GGB38744_SGB14842,,,,,0.0351,0,0.04946,0,0,0,0,0,0.00199,0,0,0,0,0,0,0.02915,0,0,0
s__Candidatus_Metaruminococcus_gallistercoris,,,,,0.03223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Mediterraneibacter_SGB4598,,,,,0.03155,0,0,0,0,0,0,0,0,0.16517,0,0,0,0,0,0,0,0,0
s__Clostridia_bacterium_UC5_1_1E11,,,,,0.02415,0.02837,0,0,0,0,0,0,0,0,0,0,0,0.00276,0,0,0,0,0
s__Peptococcus_niger,,,,,0.02074,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00294,0,0,0,0
s__GGB42389_SGB59559,,,,,0.02065,0,0.05931,0,0,0,0,0,0,0,0,0,0,0,0,0.05564,0,0,0.00124
s__Streptococcus_vestibularis,,,,,0.01834,0,0.12799,0,0,0,0,0,0,0,0,0,0,0,0,0.05609,0.02655,0,0
s__GGB74708_SGB54312,,,,,0.01463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Eubacterium_sp_An11,,,,,0.01381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB74802_SGB47402,,,,,0.01307,0,0,0,0.14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Christensenella_minuta,,,,,0.01131,0,0,0,0,0,0,0,0.00676,0,0,0,0,0,0,0,0,0,0
s__GGB3678_SGB4991,,,,,0.01056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB45497_SGB63169,,,,,0.00915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Gordonibacter_sp_An232A,,,,,0.00913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Candidatus_Aristotella_avistercoris,,,,,0.00912,0,0,0,0,0,0.00039,0,0.00041,0.00161,0,0,0,0,0,0,0,0,0
s__Rothia_mucilaginosa,,,,,0.0069,0,0,0,0,0,0,0,0,0,0,0,0.00764,0,0,0.06979,0,0,0
s__Bittarella_massiliensis,,,,,0.00566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Lachnoclostridium_sp_An138,,,,,0.00558,0,0,0,0.13099,0,0.06791,0,0,0.23756,0.00116,0,0,0,0,0,0.02311,0,0.08916
s__Flavonifractor_sp_An100,,,,,0.00545,0,0,0,0,0,0.03121,0,0,0,0,0,0,0,0,0,0,0,0
s__Intestinimonas_massiliensis,,,,,0.005,0,0,0,0,0,0.02405,0,0,0,0,0,0,0,0,0,0,0,0
s__Anaerofustis_stercorihominis,,,,,0.00482,0,0,0,0,0.02285,0,0,0,0.01021,0,0,0,0,0,0,0,0,0
s__GGB3463_SGB4621,,,,,0.00474,0.01478,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00423,0,0,0
s__Bifidobacterium_scardovii,,,,,0.00422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB9534_SGB14937,,,,,0.00382,0,0,0,0,0,0.02247,0,0,0,0,0,0,0,0,0,0,0,0.01534
s__Bifidobacterium_dentium,,,,,0.00363,0,0,0,0,0.03366,0,0,0,0.75382,0,0,0.00163,0,0,0.01611,0.0665,0,0
s__Candidatus_Protoclostridium_gallicola,,,,,0.00252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Lawsonibacter_sp_NSJ_51,,,,,0.00146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB4327,,,,,3.50353,0,0,0.07829,2.34095,0,0,0,0,0,0,0,0,0,2.18411,1.75109,0,0,0
t__SGB4547,,,,,2.3495,1.73106,0.18558,0,0,0,0,0,0,0,0,0,1.10526,0,0,0,0,3.4534,0.97993
t__SGB4422,,,,,1.86636,0,0,1.67088,0,0,0.17954,0,0.65312,0,0,0.98474,0,0,0,0,0,0,0.13983
t__SGB6358,,,,,1.16871,0,0,0,0.83414,0,0,0,0.09469,0,0,0,0,0,0,0,0,0,0
t__SGB6340,,,,,0.96791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB15121,,,,,0.70841,0,0,0,0,0,0.47475,0,0,0.23489,0,0,0,0.23508,0,0,0.98725,0,0.40127
t__SGB4624,,,,,0.67843,0,0,0,0,0,0.04943,0,0,0.9343,0,0,0,0,0,0,0.05806,0,0
t__SGB15260,,,,,0.64484,0,0.33166,0,0,0,0,0,0.02257,0,0,0.25025,0,0,0,0,0,0,0.00856
t__SGB4436,,,,,0.50749,0.09685,0.0604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00802
t__SGB6522,,,,,0.48255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01858
t__SGB4964,,,,,0.37034,0,0.92758,1.03628,0.07497,0,0.10043,0,0.1804,0,0,0.00299,0,0.04495,0.04919,0,0,0,0.07832
t__SGB14125,,,,,0.36236,0,0,0,0.01512,0,0,0,0,0.06552,0.02222,0,0,0,0,0,0,0,0.06925
t__SGB15254,,,,,0.32918,0.88045,0.40874,0.80889,0.28197,0,0.24833,0,0.55159,0,0,0.67208,0,0.85874,0.96431,0,0,0,0.16955
t__SGB14741,,,,,0.22143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB1940,,,,,0.16516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB3991,,,,,0.14771,0,0,0,0.02352,0,0.00099,0,0.01251,0,0,0,0,0,0,0,0,0,0.00291
t__SGB4623,,,,,0.12194,0,0,0,0,0,0.02101,0,0,0.05147,0,0,0,0,0,0,0,0,0
t__SGB14898,,,,,0.10177,0,0,0,0.01323,0,0.0274,0,0,0,0,0,0,0,0,0.01318,0,0,0.16098
t__SGB15304,,,,,0.08051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB2325,,,,,0.07489,0,1.28344,0,0,0,0.69149,0,0,0,0,0.00992,0,0,0,0.11965,0,0,0
t__SGB5062,,,,,0.07468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB6305,,,,,0.07164,0,0,0,0,0,0,0,0.03682,0,0,0.01867,0,0.07042,0,0,0,0,0
t__SGB17153,,,,,0.06752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00276,0.00494
t__SGB8028_group,,,,,0.05954,0,0.05644,0,0,0,0,0.02343,0,0,0.01506,0,0,0,0,0,0,0,0
t__SGB4028,,,,,0.05637,0,0,0,0,0,0.00892,0,0,0,0,0,0,0,0,0,0,0,0.07722
t__SGB7996,,,,,0.05315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB7106,,,,,0.05154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB7262,,,,,0.0483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB14143,,,,,0.04419,0,0,0,0,0,0,0,0,0,0.00039,0,0,0,0,0,0,0,0
t__SGB4781,,,,,0.04236,0.1313,0.35245,0.09929,0,0,0.02458,0.14905,0.16247,0,0,0.12686,0,0,0.26686,0.09296,0,0,0.04947
t__SGB5182,,,,,0.03937,0,0,0,0,0,0,0,0,0.0342,0,0,0,0,0,0,0,0,0
t__SGB6369,,,,,0.03896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB63239,,,,,0.03742,0,0,0,0.0126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB14969,,,,,0.03663,0,0.32839,0.03519,0,0,0,0,0.02691,0,0.01751,0,0,0,0,0,0,0,0
t__SGB14921,,,,,0.03603,0,0,0,0,0,0.14828,0,0.07613,0,0,0.08616,0,0,0,0.16743,0,0,0.0255
t__SGB59892,,,,,0.03512,0,0,0,0,0,0,0,0,0.02079,0,0,0,0,0,0,0.01965,0,0
t__SGB14842,,,,,0.0351,0,0.04946,0,0,0,0,0,0.00199,0,0,0,0,0,0,0.02915,0,0,0
t__SGB14870,,,,,0.03223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB4598,,,,,0.03155,0,0,0,0,0,0,0,0,0.16517,0,0,0,0,0,0,0,0,0
t__SGB14895,,,,,0.02415,0.02837,0,0,0,0,0,0,0,0,0,0,0,0.00276,0,0,0,0,0
t__SGB4050,,,,,0.02074,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00294,0,0,0,0
t__SGB59559,,,,,0.02065,0,0.05931,0,0,0,0,0,0,0,0,0,0,0,0,0.05564,0,0,0.00124
t__SGB8003,,,,,0.01834,0,0.12799,0,0,0,0,0,0,0,0,0,0,0,0,0.05609,0.02655,0,0
t__SGB54312,,,,,0.01463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB4681,,,,,0.01381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB47402,,,,,0.01307,0,0,0,0.14981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB14142,,,,,0.01131,0,0,0,0,0,0,0,0.00676,0,0,0,0,0,0,0,0,0,0
t__SGB4991,,,,,0.01056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB63169,,,,,0.00915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB14805,,,,,0.00913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB63343,,,,,0.00912,0,0,0,0,0,0.00039,0,0.00041,0.00161,0,0,0,0,0,0,0,0,0
t__SGB16986,,,,,0.0069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00819,0,0,0
t__SGB7263,,,,,0.00566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB4774,,,,,0.00558,0,0,0,0.13099,0,0.06791,0,0,0.23756,0.00116,0,0,0,0,0,0.02311,0,0.08916
t__SGB15160,,,,,0.00545,0,0,0,0,0,0.03121,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB7256,,,,,0.00508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB15127,,,,,0.005,0,0,0,0,0,0.02405,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB49059,,,,,0.00482,0,0,0,0,0,0,0,0,0.01021,0,0,0,0,0,0,0,0,0
t__SGB4621,,,,,0.00474,0.01478,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00423,0,0,0
t__SGB17257,,,,,0.00422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB14937,,,,,0.00382,0,0,0,0,0,0.02247,0,0,0,0,0,0,0,0,0,0,0,0.01534
t__SGB17234,,,,,0.00363,0,0,0,0,0.03366,0,0,0,0.75382,0,0,0.00163,0,0,0.01611,0.0665,0,0
t__SGB14049,,,,,0.00252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB15131,,,,,0.00146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c__CFGB1341,,,,,,3.00899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c__CFGB1260,,,,,,0.08786,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05233,0,0,0.03449
c__CFGB9581,,,,,,0.00492,0,0,0,0,2.89044,0,0,0,0,0,0.01113,0,0,0,0,0,0
c__Tissierellia,,,,,,0.00272,0.46997,0,0,0,0.60613,0,0,0,0,0,0,0,0,0,0,0,0
o__OFGB1341,,,,,,3.00899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o__OFGB1260,,,,,,0.08786,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05233,0,0,0.03449
o__OFGB9581,,,,,,0.00492,0,0,0,0,2.89044,0,0,0,0,0,0.01113,0,0,0,0,0,0
o__Tissierellales,,,,,,0.00272,0.46997,0,0,0,0.60613,0,0,0,0,0,0,0,0,0,0,0,0
f__FGB1341,,,,,,3.00899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f__FGB1260,,,,,,0.08786,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05233,0,0,0.03449
f__Prevotellaceae,,,,,,0.02749,0.37652,5.21596,0.18462,2.07065,2.93553,0,3.41861,0.39074,0,25.00556,0.23787,0,0.06504,3.3281,0,36.65835,7.71914
f__FGB9581,,,,,,0.00492,0,0,0,0,2.89044,0,0,0,0,0,0.01113,0,0,0,0,0,0
f__Peptoniphilaceae,,,,,,0.00272,0.46997,0,0,0,0.60613,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB5201,,,,,,3.00899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB4897,,,,,,0.10382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB3058,,,,,,0.08786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Hydrogeniiclostidium,,,,,,0.02934,0,0,0,0,0,0,0,0,0,0,0.0323,0,0,0,0,0,0
g__Prevotella,,,,,,0.02749,0.37652,4.88193,0,2.07065,2.70601,0,3.05844,0,0,23.174,0,0,0,2.03647,0,36.37793,7.71914
g__GGB33586,,,,,,0.01427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Cuneatibacter,,,,,,0.00769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB50802,,,,,,0.00733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB9581,,,,,,0.00492,0,0,0,0,2.89044,0,0,0,0,0,0.01113,0,0,0,0,0,0
g__Peptoniphilus,,,,,,0.00272,0,0,0,0,0.18054,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB5201_SGB7260,,,,,,3.00899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Bacteroides_cellulosilyticus,,,,,,0.97444,0,0,0.35245,0,0,0,0.1466,0,0,0,0,0,0,0,0,0,0
s__Clostridiaceae_bacterium_Marseille_Q4149,,,,,,0.30206,0,0,0.12578,0,0.9076,0,0,0,0,0,0,0,0.51169,0,0,0,0.0747
s__GGB4897_SGB106351,,,,,,0.10382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB3058_SGB4060,,,,,,0.08786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Limosilactobacillus_mucosae,,,,,,0.0654,0,0.09024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Collinsella_sp_An307,,,,,,0.04218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Clostridium_cuniculi,,,,,,0.04171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Clostridium_paraputrificum,,,,,,0.03413,0,0,0,0.00482,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Hydrogeniiclostidium_mannosilyticum,,,,,,0.02934,0,0,0,0,0,0,0,0,0,0,0.0323,0,0,0,0,0,0
s__Prevotella_bivia,,,,,,0.02749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Clostridium_perfringens,,,,,,0.02432,0.13845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB33586_SGB53517,,,,,,0.01427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB9619_SGB15066,,,,,,0.01072,0,0,0.00109,0.00774,0,0,0,0.33853,0,0.0225,0,0,0,0,0,0,0.09009
s__Alistipes_putredinis,,,,,,0.00921,0,0,0.6649,0,0.0888,0,2.05409,0.10561,0.34154,0,0,1.07396,0,0.13513,0,0,0
s__Cuneatibacter_caecimuris,,,,,,0.00769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB50802_SGB106454,,,,,,0.00733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Lachnospiraceae_bacterium_NSJ_46,,,,,,0.00608,0,0,0,0,0,0,0.00684,0,0,0.00562,0,0,0,0,0,0,0
s__GGB9581_SGB79823,,,,,,0.00492,0,0,0,0,0,0,0,0,0,0,0.01113,0,0,0,0,0,0
s__Peptoniphilus_coxii,,,,,,0.00272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB7260,,,,,,3.00899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB1844,,,,,,0.97444,0,0,0.35245,0,0,0,0.1466,0,0,0,0,0,0,0,0,0,0
t__SGB15333,,,,,,0.39679,0.1839,0.70103,0,1.68024,0.08522,0,0,0,0,0.13874,0,0,0,0,0,0,0
t__SGB15091,,,,,,0.30206,0,0,0.12578,0,0.9076,0,0,0,0,0,0,0,0.51169,0,0,0,0.0747
t__SGB106351,,,,,,0.10382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB4060,,,,,,0.08786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB15159,,,,,,0.08378,0,0,0.01488,0,0,0,0,0,0.07356,0,0,0.06326,0,0.0284,0,0,0
t__SGB7088_group,,,,,,0.0654,0,0.09024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB14758,,,,,,0.04218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB29095,,,,,,0.04171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB6187,,,,,,0.03413,0,0,0,0.00482,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB14890,,,,,,0.02934,0,0,0,0,0,0,0,0,0,0,0.0323,0,0,0,0,0,0
t__SGB1557,,,,,,0.02749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB6191,,,,,,0.02432,0.13845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB6153,,,,,,0.02267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB53517,,,,,,0.01427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB15066,,,,,,0.01072,0,0,0.00109,0.00774,0,0,0,0.33853,0,0.0225,0,0,0,0,0,0,0.09009
t__SGB2318,,,,,,0.00921,0,0,0.6649,0,0.0888,0,2.05409,0.10561,0.34154,0,0,1.07396,0,0.13513,0,0,0
t__SGB29380,,,,,,0.00769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB106454,,,,,,0.00733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB4877,,,,,,0.00616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB47656,,,,,,0.00608,0,0,0,0,0,0,0.00684,0,0,0.00562,0,0,0,0,0,0,0
t__SGB79823,,,,,,0.00492,0,0,0,0,0,0,0,0,0,0,0.01113,0,0,0,0,0,0
t__SGB6734,,,,,,0.00272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB14757,,,,,,0.00068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Fusobacteria,,,,,,,0.73004,0,0,0,0.15978,0,0,0,0,0,0,0,0,0,0,0,0
c__CFGB14936,,,,,,,2.816,1.93653,0,0,0,0,1.63327,0,0,0.02086,0,0,0,0,0,0,0.27932
c__CFGB12107,,,,,,,1.35962,0,0.54634,0,0.51521,0,0.1594,0,0,0.61489,0,0,0,0.75719,0,0,1.48434
c__Fusobacteriia,,,,,,,0.73004,0,0,0,0.15978,0,0,0,0,0,0,0,0,0,0,0,0
c__CFGB45503,,,,,,,0.27686,0,0,0.55028,0,0,0,0,0,0,0,0,0.13726,0,0,0,0
c__CFGB38642,,,,,,,0.15851,0.02605,0,0,0,0,0.01373,0,0,0,0,0,0.10253,0.01429,0,0,0.90987
c__CFGB3529,,,,,,,0.13336,0.10309,0.0676,0,0,0,0,0,0,0.05369,0,0,0,0,0,0,0
c__CFGB1213,,,,,,,0.05062,0,0,0,0.01767,0,0,0,0,0,0,0,0,0,0,0,0
c__CFGB76782,,,,,,,0.04922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c__CFGB76642,,,,,,,0.00465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o__OFGB14936,,,,,,,2.816,1.93653,0,0,0,0,1.63327,0,0,0.02086,0,0,0,0,0,0,0.27932
o__OFGB12107,,,,,,,1.35962,0,0.54634,0,0.51521,0,0.1594,0,0,0.61489,0,0,0,0.75719,0,0,1.48434
o__Fusobacteriales,,,,,,,0.73004,0,0,0,0.15978,0,0,0,0,0,0,0,0,0,0,0,0
o__OFGB45503,,,,,,,0.27686,0,0,0.55028,0,0,0,0,0,0,0,0,0.13726,0,0,0,0
o__Aeromonadales,,,,,,,0.23282,0,0,0,0.27957,0,0,0,0,0,0,0,0,0.00316,0,0,0.00853
o__OFGB38642,,,,,,,0.15851,0.02605,0,0,0,0,0.01373,0,0,0,0,0,0.10253,0.01429,0,0,0.90987
o__Sphingomonadales,,,,,,,0.13642,0,0,0,0,0,0,0,0,0.05938,0,0,0.09574,0.10052,0,0,0
o__OFGB3529,,,,,,,0.13336,0.10309,0.0676,0,0,0,0,0,0,0.05369,0,0,0,0,0,0,0
o__OFGB1213,,,,,,,0.05062,0,0,0,0.01767,0,0,0,0,0,0,0,0,0,0,0,0
o__OFGB76782,,,,,,,0.04922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o__OFGB76642,,,,,,,0.00465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f__FGB14936,,,,,,,2.816,1.93653,0,0,0,0,1.63327,0,0,0.02086,0,0,0,0,0,0,0.27932
f__FGB12107,,,,,,,1.35962,0,0.54634,0,0.51521,0,0.1594,0,0,0.61489,0,0,0,0.75719,0,0,1.48434
f__Fusobacteriaceae,,,,,,,0.73004,0,0,0,0.15978,0,0,0,0,0,0,0,0,0,0,0,0
f__FGB45503,,,,,,,0.27686,0,0,0.55028,0,0,0,0,0,0,0,0,0.13726,0,0,0,0
f__Aeromonadaceae,,,,,,,0.23282,0,0,0,0.27957,0,0,0,0,0,0,0,0,0.00316,0,0,0.00853
f__FGB38642,,,,,,,0.15851,0.02605,0,0,0,0,0.01373,0,0,0,0,0,0.10253,0.01429,0,0,0.90987
