Abundance,SAMN00034067,SAMN00034187,SAMN00095348,SAMN00078079,SAMN00073582,SAMN00147413,SAMN00070035,SAMN00146239,SAMN00042371,SAMN00069411,SAMN00142559,SAMN00144714,SAMN00099612,SAMN00146563,SAMN00143723,SAMN00088832,SAMN00095035,SAMN00063676,SAMN00031604,SAMN00143208,SAMN00073658,SAMN00097954,SAMN00041840,SAMN00141929,SAMN00143579,SAMN00146869,SAMN00143093,SAMN00146305,SAMN00095238,SAMN00037655,SAMN00142107,SAMN00065537,SAMN00065748,SAMN00087096,SAMN00034856,SAMN00085245,SAMN00034316,SAMN00147641,SAMN00097897,SAMN00087461,SAMN00146662,SAMN00141722,SAMN00088016,SAMN00076282,SAMN00139730,SAMN00085508,SAMN00087719,SAMN00069905,SAMN00142287,SAMN00100025,SAMN00034857,SAMN00086130,SAMN00085131,SAMN00082542,SAMN00074361,SAMN00100110,SAMN00142815,SAMN00037656,SAMN00087669,SAMN00042437,SAMN00146983,SAMN00088586,SAMN00096542,SAMN00084837,SAMN00087920,SAMN00075542,SAMN00141816,SAMN00141720,SAMN00039134,SAMN00087361,SAMN00146030,SAMN00143754,SAMN00094410,SAMN00082513,SAMN00147938,SAMN00146356,SAMN00099936,SAMN00087253,SAMN00139709,SAMN00142398,SAMN00087502,SAMN00142634,SAMN00088409,SAMN00146029,SAMN00095165,SAMN00083997,SAMN00045881,SAMN00099822,SAMN00147136,SAMN00139862,SAMN00145981,SAMN00142997,SAMN00073365,SAMN00095092
s__GGB3746_SGB5089,,,0.1429,0,0.18607,0.00372,0.01003,0,0,0,0,0,0.00532,0.50108,0,0,0.98727,0,0.13438,0,0,0.00487,0,0.23439,0,0,0,0,0.00786,0,0,0.01056,0.00591,0,0,0.09656,0.06866,0.09231,0.0268,0,0.03326,0.00793,0,0.0145,0,0.0077,0,0.03815,0.4381,0,0,0,0,0,0.01167,1.33784,0.59121,0,0.0951,0,0,0,0,0.02689,0.00063,0,0.01498,1.57338,0,0.39758,0,0.00872,0.00476,0,0.06818,0,0.02063,0,0.28917,0,0,0,0.1769,0.00762,0.47101,0.01765,0.1166,0,0,0,0,0.00801,0.02356,0.09399
s__GGB9115_SGB14048,,,0.06809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10096,0,0,0.01807,0,0,0,0,0,0,0,0,0,0.53538,0,0.1445,0,0,0.10939,0,0,0,0,0,0,0,0,0,0,0,0,0.01419,0,0,0,0,0,0,0,0,0.15746,0,0,0,0,0,0.09637,0.03105,0.00598,0,0,0,0,0,0,0,0.21441,0.31368
s__GGB9619_SGB15067,,,0.0662,0,0,0,0,0,0,0,0.04874,0,0,0.03634,0.00508,0,0,0,0,0,0,0.04148,0,0,0,0,0,0,0.02144,0,0,0.00514,0,0,0,0.00067,0.0279,0.0156,0,0,0,0,0,0.04689,0,0,0,0,0,0,0.00113,0,0,0,0.0087,0,0,0,0,0,0.05618,0,0,0,0,0,0,0.00333,0,0,0,0.08111,0,0,0,0,0.016,0.03102,0,0,0.02297,0.00598,0,0.01607,0,0,0.00791,0.00858,0,0,0,0,0.04468,0
s__GGB4566_SGB6305,,,0.06155,0,0,0,0,0,0,0,0.09548,0,0,0,0.17443,0,0.15751,0,0,0,0,0.31693,0,0,0.00277,0,0,0,0,0,0,0,0,0.00401,0,0,0.18514,0.01421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07079,0,0.74301,0,0,0,1.0257,0,0,0,0,0,0,0,0,0,0.05141,0,0,0
s__Monoglobus_pectinilyticus,,,0.05987,0.01743,0.02412,0.03113,0,0.00371,0,0.01206,0.06845,0,0,0,0,0,0.02923,0,0.02896,0.00118,0,0,0.00149,0,0,0,0,0,0.01504,0,0.0218,0.22032,0,0,0,0.00627,0,0,0,0.01029,0,0.01635,0,0,0,0.03272,0.03719,0,0.00177,0.26994,0,0,0.02381,0,0,0.00574,0.01246,0,0,0.00114,0.08664,0,0,0,0.05413,0.02162,0,0.00751,0.01009,0,0.1115,0,0.04039,0.04337,0.10005,0.00845,0.05232,0.01512,0.00574,0,0,0.00158,0.01345,0.02723,0,0,0.01761,0.07092,0,0,0,0.01332,0,0
s__GGB3175_SGB4191,,,0.05293,0,0,0.07356,0,0,0,0,0,0.06903,0,0.95836,0,0,0,0,0,0,0.4949,0,0,0,0,0,0,0,0,0,0,0.35621,0,3.08683,0,0.4454,0,0.30103,0,0,0,0,0,0.3845,0.22244,0,0,0,0,0,0,0,0,0,0.69163,0,0,0,0,0,0,0.52048,0,0,0.16332,0,0,0,0.10823,0,0,0,0,0.05239,0,0,0,0,0,0,0,0.19529,0,0.01327,1.0274,0,0.52076,0,0,0,0,0,0,2.80131
s__Escherichia_coli,,,0.04916,0,0,0.11849,0,0.60432,0.22708,1.05219,0.05572,0,0.00474,0.00617,0.00058,0,0.01849,0.00134,0.00151,0,0,0,0,0.05008,0.1754,0,0.00155,0,0.05989,0.02782,0.14226,0.05475,0,0.02611,0.0165,0,0.02376,0.00422,0,0,0,0.18077,0.00437,0,0.00178,0.00227,0.00086,0.00329,0,0.01503,0,0,0.00395,0.00231,0,0.00041,0.00529,0.00808,0.14649,0,0.00691,0.005,0,0.00312,0.06065,0,0.11106,0.00257,0,0.00137,0.00978,0,0.03656,0,0.05183,0.00196,0.00671,0,0.25756,0,0.03885,0,0.03149,0.0095,0.00107,0,0,0.00166,0.02446,0,0,0,0,0.00134
s__GGB4802_SGB6641,,,0.03488,0,0,0,0,0,0,0,0,0,0,0.00822,0,0,0,0,0,0,0,0,0,0,0,0,0.00281,0,0,0,0.00401,0,0,0,0,0,0.00193,0.00348,0,0,0,0,0,0,0.00222,0,0,0,0,0.00457,0,0,0,0,0,0,0,0,0,0,0.00462,0.01074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02293,0,0,0,0,0,0.00415,0.00186,0.00908,0,0,0.00749,0,0,0,0,0,0.01159
s__Lacrimispora_celerecrescens,,,0.03389,0.01273,0,0.05097,0.00581,0.03654,0,0.03946,0.07007,0.00263,0.00294,0.02733,0.00082,0.01024,0.0692,0.00216,0.11213,0.22771,0,0.02845,0,0.06247,0.02256,0.05064,0.02167,0,0.01391,0,0.01898,0.01646,0,0.05668,0.06299,0.01194,0,0.00855,0.00187,0.01667,0,0,0,0.01112,0.01555,0.01291,0.04596,0.00086,0,0.03237,0.09908,0,0.00581,0.01951,0.00241,0,0.00382,0,0,0,0.03637,0.03419,0,0,0.00459,0.00164,0.09934,0.04998,0.0046,0.00989,0.0292,0,0,0,0,0.03104,0,0,0.00868,0,0,0.00047,0.00999,0.16147,0.01436,0.00331,0,0.05181,0.03111,0,0.02242,0,0.0405,0.03012
s__GGB79630_SGB13983,,,0.03124,0,0,0.00164,0,0,0,0,0.02695,0.01813,0,0.24201,0.01355,0,0,0,0,0,0.15073,0.23817,0,0,0.01693,0.57412,0.05655,0,0,0,0.01579,0,0,0,0,0.00149,0.09198,0.21295,0,0.12452,0,0,0,0.05692,0.21294,0,0,0.00774,0,1.04386,0,0,0,0,0.07853,0,0,0,0,0,0,0.00503,0,0,0,0,0.33914,0.43309,0.10077,0.0924,0,0,0,0,0.06823,0.00328,0,0,0.15603,0,0,0.11291,0,0.07475,0.01128,0,0,0,0,0,0,0,0.44912,0.04341
s__Dakarella_SGB14198,,,0.02268,0,0,0,0,0,0,0,0,0,0,0.02069,0.1383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00045,0,0,0,0,0,0,0.00396,0,0,0,0,0,0,0.08348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04936,0,0,0,0,0,0,0,0,0.07377,0.02166
s__GGB29535_SGB36365,,,0.02263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032
s__Romboutsia_timonensis,,,0.0226,0.03283,0,0,0,0,0,0,0,0.01047,0.00027,0.00222,0,0,0,0.01428,0.00272,0,0,0,0,0,0,0,0,0,0.00214,0,0.00054,0.00304,0,0,0,0,0,0.00755,0,0,0,0,0,0,0,0.00431,0,0.00195,0.00263,0,0.00033,0,0,0.00255,0,0,0,0,0.00332,0,0,0.00137,0,0,0.01036,0,0,0.07244,0,0.00201,0,0,0,0,0,0,0,0,0,0,0,0,0.00357,0,0.00508,0,0.00393,0,0.01414,0,0,0.00527,0,0.01604
s__GGB3626_SGB4905,,,0.01779,0.06773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10093,0,0.01381,0.00439,0,0,0,0,0,0.00448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00775,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB9092_SGB14022,,,0.0172,0,0,0.0052,0,0,0,0,0,0,0,0,0.03102,0,0,0,0,0,0,0,0,0,0,0.71868,0,0,0,0,0,0,0,0,0,0,0,0.02328,0,0,0,0,0,0,0,0,0,0,0,0.00104,0,0,0,0,0,0,0,0,0,0,0,0.02266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03776,0.01474,0,0,0,0,0,0,0,0,0
s__GGB9309_SGB14270,,,0.01711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB9480_SGB14874,,,0.01664,0,0,0,0,0,0,0,0.99665,0,0,0,0.36936,0,0.24253,0,0,1.4522,0,0,0.00208,0,0,0.02574,0,0,0,0,0,0.02025,0,0,0,0,0,0,0,0,0,0.41655,0,0,0,0,0.03846,0,0,0,0,0,0,0.58071,0,0,0.01724,0,0,0,0.03482,0,0,0,0,0,1.48631,0,0,0,0,0,0,0,0,0.3509,0.08233,0,0,0,0,0,0,0,0.01013,0,0,0.00701,0,0,0,0,0,0
s__Collinsella_SGB4121,,,0.01521,0,0,0,0,0,0,0.24877,0,0,0.0023,0.0134,0.02685,0,0.03645,0.00934,0,0,0,0.02051,0,0.01269,0.01666,0,0,0,0.04665,0.0021,0.02229,0.12425,0,0.02855,0.07974,0,0.01449,0,0,0.05922,0,0.12714,0,0,0,0,0,0,0,0.02861,0.09569,0,0,0,0,0.02713,0.00138,0.00617,0.05203,0.0021,0,0,0,0,0.09918,0.00973,0.06832,0.04142,0,0,0,0,0.00593,0,0,0,0.017,0,0.06083,0,0,0,0,0,0.0056,0.0081,0,0.00167,0.00676,0,0.03743,0.00403,0,0
s__Alcaligenes_SGB14037,,,0.01407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00699,0,0,0,0,0.05694
s__GGB3475_SGB4638,,,0.01298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04796,0,0,0,0,0.05965,0.05537,0,0,0,0,0.02922,0.00465,0.11551,0,0,0,0,0,0,0,0,0,0.07498
s__Turicibacter_bilis,,,0.01152,0.01074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031,0,0,0,0,0,0,0,0,0,0,0,0.02413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01483,0,0.04247,0,0,0,0,0,0.00103,0,0,0,0,0,0,0,0,0,0,0.01373,0,0,0,0,0.00386,0,0,0,0,0.00096,0,0,0,0,0,0,0,0,0,0.01582,0,0,0,0.0225,0,0,0,0,0
s__Ruminococcus_lactaris,,,0.01074,0,0.07029,0,0,0.17529,0,0,0,0,0,0.00498,0.08302,0,0,0,0.03083,0.25718,0,0,0,0,0,0.00691,0,0,0.0162,0,0,0.00966,0.00721,0,0.19918,0,0.22678,0,0.01422,0,0,0,0,0,0.01073,0.03345,0.00736,0,0,0,0.24379,0.08546,0.46611,0,0.04247,0,0,0,0,0.0143,1.54442,0.00306,0,0.01423,0.02471,0,0,0.04634,0.65427,0,0,0,0,0.0218,0,0,0,0.00496,0,0.43032,0,0,0,0,0,0,0.12188,0.2766,0,0,0.25901,0,0,0.83736
s__GGB9719_SGB15273,,,0.01051,0.00395,0,0.00676,0,0,0,0.03326,0.01491,0.00097,0.0028,0,0.04197,0,0,0,0.0395,0.25031,0.00211,0,0,0,0,0,0.00027,0,0.00764,0,0,0,0,0.00315,0.02994,0.00601,0.04827,0,0,0,0.0285,0,0,0.00689,0,0.00592,0.03487,0.00082,0,0,0.0613,0,0.00206,0,0,0,0,0,0,0.01985,0.01924,0,0,0,0,0,0.18578,0.01111,0.17483,0,0.01733,0.0041,0.06052,0,0.08174,0,0,0,0.0311,0,0,0.00461,0.00587,0,0,0,0,0.04554,0,0,0,0.03468,0,0.00746
s__GGB9453_SGB14844,,,0.00996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007,0,0,0,0,0,0,0,0.00168,0.02285,0,0,0,0,0.11403,0,0,0.01242,0,0.06524,0,0,0,0,0,0,0,0.0299,0,0,0,0,0.00012,0.00476,0,0,0.01648,0.00599,0.00594,0,0,0,0.00581,0,0,0,0.02006,0,0,0,0,0,0.41003,0,0,0.01259,0.00965,0,0,0.01485,0.03666,9e-05,0,0,0,0.03976,0.00122,0,0,0,0,0
s__GGB3001_SGB3992,,,0.00993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB33586_SGB53517,,,0.00908,0.01821,0,0.07094,0,0,0,0.09155,0,0.00482,0,0.00581,0,0,0.08861,0,0.01187,0,0.00283,0.00113,0.00211,0,0.02058,0.00465,0,0,0.09489,0,0.01119,0,0,0.00572,0.14743,0,0.05505,0,0.031,0.02364,0,0.05379,0,0,0.01267,0.01685,0,0,0,0.03403,0.22731,0,0.01147,0.00125,0,0,0.01461,0,0,0.0065,0.03458,0,0,0,0,0,0.01396,0.01287,0.06806,0.00221,0.08703,0.00689,0.04697,0,0.12368,0.07071,0.09755,0.01287,0.06508,0,0,0.03249,0.00989,0,0.00721,0,0,0.03322,0,0,0.08195,0.02113,0.00379,0.03548
s__Turicibacter_sanguinis,,,0.00879,0.00585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132,0,0,0,0,0,0,0,0.00399,0,0,0,0,0.00132,0,0,0,0,0,0.0049,0,0,0,0,0,0,0,0.00135,0,0,0,0,0,0,0,0,0,0,0,0.00095,0,0.00323,0,0.02172,0,0,0,0,0
s__GGB9627_SGB15081,,,0.00722,0,0,0.02462,0,0,0,0.15006,0,0,0.00096,0,0.01672,0,0,0,0,0,0,0,0,0,0.03577,0,0,0,0.02119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23889,0,0,0,0,0,0,0,0,0,0,0,0,0.03392,0,0,0,0,0,0,0,0,0,0,0,0.12734,0,0,0.00176,0,0.00163,0,0,0,0,0,0,0,0,0.02568,0.0178
s__GGB9524_SGB14924,,,0.0072,0,0,0,0,0,0,0,0,0,0,0,0.00313,0,0,0,0,0,0,0.02068,0,0,0,0,0,0,0,0,0.00678,0,0,0,0,0,0,0.00243,0.00365,0.01569,0,0,0,0,0,0,0,0,0,0.0206,0,0,0,0,0.00375,0,0,0,0,0,0.0041,0,0,0,0,0,0,0.00097,0,0,0.00554,0,0,0,0.45528,0,0,0,0,0,0,0,0,0.00193,0,0,0,0.00823,0,0,0,0,0,0
s__GGB9621_SGB15073,,,0.00608,0,0,0,0,0,0,0,0,0.04809,0.00883,0,0,0,0,0.05518,0,0,0.03523,0,0,0,0,0,0,0,0,0,0,0.16061,0,0,0,0,0,0.01078,0.08461,0,0,0,0,0.00228,0,0,0,0.00169,0,0,0,0,0,0.09136,0.00688,0,0,0,0,0,0,0,0.30318,0,0.01054,0,0,0,0,0,0.00166,0,0,0,0,0,0,0,0,0.05518,0,0,0,0.00132,0.00451,0,0,0,0,0,0,0,0.0128,0
s__Oxalobacter_formigenes,,,0.00543,0,0,0.07181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00584,0,0.00062,0,0,0,0,0,0,0,0,0,0,0,0.00301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08253,0.03399,0,0,0,0,0,0,0,0,0,0.00481
s__GGB34900_SGB14891,,,0.00459,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00136,0,0,0,0,0,0,0,0,0,0.00448,0,0,0,0,0,0,0,0,0,0.00444,0,0,0,0,0,0,0,0,0,0,0,0,0.00142,0,0,0,0,0,0,0,0,0.01199,0,0.00229,0,0,0,0,0,0,0,0,0,0,0,0.00656,0,0.20273,0,0,0,0,0,0,0,0,0,0,0,0,0.0031,0,0,0.00136,0.00126,0.01342,0.00929
s__Collinsella_SGB62935,,,0.00435,0,0,0,0,0,0,0,0,0,0,0,0.00208,0,0,0,0.00409,0,0,0,0,0,0,0.00349,0,0,0,0,0,0,0,0,0,0,0,0.00969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00782,0,0,0,0,0.05262,0,0.00036,0,0,0,0,0,0,0,0,0,0.02362,0,0.00175,0,0,0
s__GGB74403_SGB53807,,,0.0042,0,0,0.04395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Clostridium_saudiense,,,0.00377,0.03763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06811,0,0,0,0,0,0,0.0001,0,0,0,0.00535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00498,0,0,0,8e-05,0,0,0,0,0
s__GGB3819_SGB5184,,,0.0031,0,0.01444,0,0.11546,0.09171,0,0,0.05359,0,0.00818,0,0.02344,0.04311,0,0,0.08781,0.09033,0,0,0.08735,0.01975,0,0.01062,0.34538,0,0.05337,0.03622,0,0.2416,0,0,0,0,0.07866,0.01386,0,0.03263,0,0,0,0,0.00742,0,0.04948,0,0,0,0,0,0.07686,0.10002,0,0,0,0.03713,0,0.01794,0.02369,0,0.02752,0,0.08337,0,0,0,0.02366,0,0,0,0,0,0.04304,0,0.02485,0,0,0,0,0,0,0,0,0,0,0.16848,0,0,0.06597,0,0,0
s__Clostridia_bacterium_UC5_1_1E11,,,0.00308,0,0.00197,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02242,0,0,0,0,0.00477,0,0,0,0,0.00455,0,0,0,0,0,0,0,0,0,0,0.00233,0,0,0,0,0,0,0.00143,0,0,0,0,0,0,0,0,0.03127,0,0,0,0.00505,0.00203,0,0.0029,0,0,0,0,0,0,0,0,0,0.10546,0,0,0.051,0.01375,0,0,0,0,0,0,0,0,0,0,0.0047,0.02883,0,0.0002,0.02277,0,0.00301
s__Bacteroides_acidifaciens,,,0.00284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Clostridiaceae_bacterium_Marseille_Q3526,,,0.00242,0,0,0,0,0,0,0.01089,0.00101,0,0.00811,0,0,0,0.16613,0,0.00702,0,0,0,0,0,0,0,0.00051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152,0,0,0,0,0,0.00886,0,0,0,0,0,0,0,0.0059,0,0,0,0.00337,0,0.00026,0,0.0012,0,0,0,0.00055,0,0,0,0,0,0,0.00552,0,0,0,0
s__Ruminococcus_gnavus,,,0.00239,0,0,0.08245,0.04078,0.01921,0.13191,0.10717,0.01114,0.00846,0.05084,0,0,0.088,0.15582,0.00064,0.01118,0.16511,0,0,0.01164,0.06944,0.04933,0,0,0,0.02858,0.03341,0,0,0.0022,0,0.01356,0,0.00807,0.00253,0,0,0,0.79214,0,0.00358,0,0,0.06795,0,0,0,0.02254,0,0.00013,0.25942,0,0.11345,0.019,0.04003,0.63691,0.00129,0.00112,0,0.10798,0.00161,0.00121,0,0,0.0012,0,0,0.01002,0,0.48568,0,0.09225,0.00114,0.0327,0.00208,0.00554,0,0.00422,0.00546,0,0.00885,0,0.01654,0,0.00074,0.02309,1.34009,0.00174,0.52819,0,0.0055
s__GGB9760_SGB15373,,,0.00211,0.05424,0,0.18852,0.05097,0.01969,0,0.08612,0,0.05874,0.01216,0.00755,0.12899,0.0056,0,0.00187,1.18475,0.32386,0.02461,0.07532,0,0,0.21846,0.18712,0.29817,0,0.06259,0,0.07082,0,0,0.03671,0.06694,0,0.13533,0.14545,0.02438,0.41472,0.1618,0,0,0,0,0.01911,0.02833,0.00778,0.03869,0.23754,0.11035,0,0,0,0.01917,0,0,0,0,0,0,0.01544,0,0,0,0,0.31171,0.16557,0,0.06211,0,0.47673,0.083,0,0.92596,0,0,0,0.15288,0.03348,0,0.16818,0.10956,0.02263,0.04343,0,0.02097,0,0.4844,0,0.02764,0.11634,0,0.1034
s__Oscillibacter_sp_NSJ_62,,,0.00199,0.00254,0,0.00151,0,0,0,0,0,0.0099,0,0,0.00278,0,0,0,0,0,6e-05,0,0,0,0,0,0,0,0,0,5e-05,0,0,0,0,0,0,0.00153,0,0,0,0,0,0,0.00053,0.01177,0,0,0,0,0,0,0,0,0.00245,0,0,0,0,0,0.00145,0.00206,0,0,0,0,0,0,0,0,0,0.00185,0,0,0,0,0,0,0,0,0,0,0.00356,0.00373,0.00304,0,0,0,0,0,0,0,0,0
s__Streptococcus_mitis,,,0.00196,0.00236,0,0.00545,0,0,0,0,0,0,0.0009,0,0,0,0.00717,0,0.00129,0,0,0,0,0,0,0.00085,0,0.04844,0,0,0,0.00643,0,0.00108,0.01023,0,0.00146,0,0,0,0,0,0,0,0,0,0,0.01724,0,0,0.01385,0,0,0.05617,0.00996,0.00121,0,0,0,0,0,0,0,0,0.0031,0,0,0,0.01607,0,0,0,0.00188,0,0,0.0035,0,0,0,0,0.01829,0,0,0,0.00117,0,0,0,0.00178,0.13404,0.00964,0.00118,0,0.00196
s__GGB9117_SGB14050,,,0.00195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04818,0,0,0,0,0,0,0,0,0,0,0,0.00142,0.01932,0,0,0,0,0,0,0,0,0,0,0,0.52541,0,0,0,0,0,0,0,0,0,0,0,0.00027,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01137,0,0,0,0,0,0,0.00822,0,0,0,0,0,0,0,0,0,0.23142,0.00018
s__Clostridium_sp_AF27_2AA,,,0.00181,0.00392,0,0.00567,0,0.00257,0,0,0.00642,0,0,0,0.00231,0,0,0,0.02448,0,0,0,0,0,0.00777,0.00706,0.00403,0,0,0,0.00994,0,0,0.0041,0,0.00567,0,0.00702,0.00014,0,0,0,0,0,0,0,0.02138,0,0.00142,0,0,0,0,0.0032,0,0,0,0,0,0,0,0.0045,0,0.00343,0,0,0,0.01212,0,0.00564,0,0,0,0,0,0,0,0,0,0,0,0,0.00664,0.00277,0.04523,0,0,0,0,0,0,0,0,0.00253
s__Oscillospiraceae_bacterium_BX1,,,0.00143,0,0,0,0,0,0,0,0,0,0,0.00616,0,0,0,0,0,0,0,0,0,0,0.00971,0,0,0,0,0,0,0,0,0.00123,0,0,0,0.01555,0,0,0,0,0,0,0,0,0,0,0,0.13464,0,0,0,0,0.00301,0,0,0,0,0,0.00125,0.03228,0,0,0,0,0,0.06246,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106,0.07736,0.02076,0.01943,0,0,0.04654,0,0,0,0,0,0.00736
s__Butyricicoccus_sp_AM29_23AC,,,0.00132,0.00379,0,0.01444,0,0,0,0,0.08406,0.00132,0,0.02988,0.0115,0,0,0,0,0.00048,0.00742,0,0,0,0,0,0,0,0.05917,0,0.02937,0,0,0,0,0,0,0,0.03306,0.0087,0,0,0,0,0,0.00242,0.00843,0.03087,0.00208,0,0,0,0,0,0,0,0,0,0,0.01842,0,0.03376,0,0,0,0,0,0,0,0.00861,0.00318,0,0,0,0,0,0,0,0,0,0,0,0,0.09092,0,0,0.13381,0,0,0,0,0,0.0068,0
s__GGB3510_SGB4687,,,0.00097,0,0.00103,0,0,0,0,0.00321,0,0.00278,0,0.00611,0,0,0,0,0.00633,0,0,0,0,0,0.00016,0,0,0,0,0,0,0.00112,0,0.00527,0.01033,0,0.06631,0,0,0,0,0,0,0,0,0,0,0,0,0.16067,0.02221,0,0,0,0.00057,0,0,0,0.00181,0.0044,0.00065,0.00497,0,0,0.00137,0,0.02386,0,0,0,0.0595,0.00389,0.01934,0,0.08256,0.00716,0,0,0,0,0.00141,0.00045,0,0,0,0,0,0,0,0,0,0.00952,0,0.00815
s__Solibaculum_mannosilyticum,,,0.00094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009,0.00063,0.0012,0,0.00282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002
s__GGB2983_SGB3965,,,0.00083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
