Abundance,SAMN08049831,SAMN08049826,SAMN08049839,SAMN08049838,SAMN08049841,SAMN08049829,SAMN08049824,SAMN08049834,SAMN08049836,SAMN08049837,SAMN08049828,SAMN08049822,SAMN08049820,SAMN08049840,SAMN08049827,SAMN08049821,SAMN08049830,SAMN08049832,SAMN08049825,SAMN08049833,SAMN08049823,SAMN08049835
s__Bifidobacterium_dentium,,,0.02591,0,0,0.07037,0,0,0,0,0,0.08525,0,0,0,0,0,0,0,0,0,0
s__Actinomyces_sp_oral_taxon_448,,,0.01619,0,0.00048,0,0,0,0.00082,0,0,0,0,0,0,0,0.00269,0,0,0,0.00778,0
s__GGB9522_SGB98319,,,0.0147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Clostridium_sp_1001270J_160509_D11,,,0.01325,0.03562,0,0,0,0.02218,0,0,0.01078,0,0,0,0,0,0,0,0,0,0.00034,0.00162
s__Actinomyces_SGB17154,,,0.013,0,0.00618,0,0.01775,0,0.02762,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Rothia_mucilaginosa,,,0.0124,0,0,0.01187,0,0,0,0,0,0,0,0,0,0,0,0,0.0009,0,0.02474,0
s__GGB49418_SGB69331,,,0.00844,0,0,0.01585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Mogibacterium_sp_BX12,,,0.00617,0.50154,0,0.00639,0.04598,0,0.00488,0.00262,0.11308,0,0,0,0,0,0.0223,0,0.05763,0.01141,0,0.02482
s__Streptococcus_gordonii,,,0.00499,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00578,0,0,0,0,0
s__Parascardovia_denticolens,,,0.00391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Megasphaera_massiliensis,,,0.00376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Bifidobacterium_ruminantium,,,0.00244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB3002_SGB3993,,,0.00191,0,0,0,0,0,0,0.00224,0,0,0,0,0,0,0,0,0.00982,0.02854,0,0.19254
s__Isoptericola_variabilis,,,0.00185,0,0,0.00647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Streptococcus_mutans,,,0.00125,0,0,0.10447,0,0,0.00529,0,0,0,0,0,0,0,0,0,0,0,0.00551,0
s__Anaerostipes_butyraticus,,,0.00106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06767
s__Bacteroides_xylanisolvens,,,0.00055,0,0.05261,0.01342,0.0477,0.03222,0,0,0.07539,0.22286,0.00695,0.02392,0.093,0.1325,0,0.00289,0.08484,0.14291,0,0
s__Bifidobacterium_SGB20337,,,0.00041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB6796,,,6.09429,0,0,0,0,0,0,0,0.0829,0,0.5837,0,0.06005,0,0,0.65157,0,0,0,0
t__SGB17256,,,4.94546,0,1.01537,0,0,0,0,1.26949,0.44569,0,0,1.39338,0.32836,0,0,0,0.96634,0,0.17249,0
t__SGB4303,,,2.44321,0,0,1.49116,2.50084,0,0,0,0,0,0.09139,0,0,0,0.92232,0.62597,0,0,1.57182,0
t__SGB5856,,,1.1259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB14379,,,0.84819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB7020,,,0.57878,0,0,1.18573,0,0,0,0.19193,0,0,0,0,0,0,0.03355,0,0,0,0,0.1119
t__SGB6285,,,0.43741,0,0,0,0,0.02636,0,0,0,0,0,0,0,0,0,0.00743,0,0,0,0
t__SGB5728,,,0.38138,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29038,0,0,0,0,0.70527
t__SGB15121,,,0.34915,0,0,0,0,0.84626,0,0,0,0,0,0,0.00645,0,0.69321,0.41843,0,0.51869,0,0.73523
t__SGB6174,,,0.19506,0.00284,0,0,0,0,0,0,0.08255,0,0.01117,0,0,0,0,0,0,0,0,0
t__SGB6190,,,0.13934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB8005,,,0.08412,0,0,0,0,0,0.0072,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB1613,,,0.07263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB14845,,,0.06124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07038,0,0,0,0
t__SGB6178,,,0.05459,0.00485,0,0,0,0.01466,0,0,0,0,0.00536,0,0,0,0,0,0.01674,0,0,0
t__SGB15041,,,0.05352,0,0,0,0,0,0.02296,0,0,0,0.10775,0.22029,0.05169,0,0,0,0.12975,0,0,0.03875
t__SGB6847,,,0.04744,0,0,0,0,0.46558,0,0,0,0,0,0,0.2737,0.0326,0,0,0.09141,0,0.02299,0
t__SGB6276,,,0.03469,0,0,0,0,0,0.01156,0,0.04489,0,0.02105,0,0.23248,0,0,0,0.14754,0,0.0105,0
t__SGB17247,,,0.03352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB14844,,,0.03193,0.06069,0,0,0,0,0.00039,0.68431,0,0.09009,0,0,0.02074,0,0.07432,0.23501,0,0.1574,0.0543,0.63916
t__SGB4121,,,0.02779,0.04136,0.11976,0.05503,0,0.02835,0,0.05409,0.09239,0,0,0,0,0,0.04393,0.06187,0,0.03798,0,0.08265
t__SGB17234,,,0.02591,0,0,0.07037,0,0,0,0,0,0.08525,0,0,0,0,0,0,0,0,0,0
t__SGB15872,,,0.01619,0,0.00048,0,0,0,0.00082,0,0,0,0,0,0,0,0.00269,0,0,0,0.00778,0
t__SGB98319,,,0.0147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB6139,,,0.01325,0.03562,0,0,0,0.02218,0,0,0.01078,0,0,0,0,0,0,0,0,0,0.00034,0.00162
t__SGB17154,,,0.013,0,0.00618,0,0.01775,0,0.02762,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB16986,,,0.0124,0,0,0.01187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB69331,,,0.00844,0,0,0.01585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB15326,,,0.00678,0,0,0.47268,0,0.42491,0.01462,0,0.18129,0,0.35677,0.89824,0.26228,0,0,0,0,0,0,0.0467
t__SGB14854,,,0.00617,0.50154,0,0.00639,0.04598,0,0.00488,0.00262,0.11308,0,0,0,0,0,0.0223,0,0.05763,0.01141,0,0.02482
t__SGB8053,,,0.00499,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00578,0,0,0,0,0
t__SGB17291,,,0.00391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB5857,,,0.00376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB17243,,,0.00244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB3993,,,0.00191,0,0,0,0,0,0,0.00224,0,0,0,0,0,0,0,0,0.00982,0.02854,0,0.19254
t__SGB17153,,,0.00185,0,0,0.00647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB8000,,,0.00125,0,0,0.10447,0,0,0.00529,0,0,0,0,0,0,0,0,0,0,0,0.00551,0
t__SGB59711,,,0.00106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06767
t__SGB1867,,,0.00055,0,0.05261,0.01342,0.0477,0.03222,0,0,0.07539,0.22286,0.00695,0.02392,0.093,0.1325,0,0.00289,0.08484,0.14291,0,0
t__SGB20337,,,0.00041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c__CFGB75783,,,,0.58187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c__CFGB75922,,,,0.05714,0.00079,0,0,0,0,0.00662,0,0.03008,0,0.00019,0,0,0,0.01041,0,0.01653,0.01237,0.01728
c__CFGB40183,,,,0.03417,0,0.00647,0,0,0,0.00852,0,0.02598,0,0,0,0,0.00097,0.00378,0,0,0,0.0158
c__CFGB72924,,,,0.00521,0,0.03194,0.00487,0.02455,0,0,0,0,0.15383,0,0,0,0,0,0.02108,0,0,0
o__OFGB75783,,,,0.58187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o__OFGB75922,,,,0.05714,0.00079,0,0,0,0,0.00662,0,0.03008,0,0.00019,0,0,0,0.01041,0,0.01653,0.01237,0.01728
o__OFGB40183,,,,0.03417,0,0.00647,0,0,0,0.00852,0,0.02598,0,0,0,0,0.00097,0.00378,0,0,0,0.0158
o__OFGB72924,,,,0.00521,0,0.03194,0.00487,0.02455,0,0,0,0,0.15383,0,0,0,0,0,0.02108,0,0,0
f__FGB75783,,,,0.58187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f__FGB75922,,,,0.05714,0.00079,0,0,0,0,0.00662,0,0.03008,0,0.00019,0,0,0,0.01041,0,0.01653,0.01237,0.01728
f__FGB40183,,,,0.03417,0,0.00647,0,0,0,0.00852,0,0.02598,0,0,0,0,0.00097,0.00378,0,0,0,0.0158
f__FGB72924,,,,0.00521,0,0.03194,0.00487,0.02455,0,0,0,0,0.15383,0,0,0,0,0,0.02108,0,0,0
g__Faecalimonas,,,,1.65571,0,0,0,0,0,0,0,0.11158,0,0,0,0,0,0.09053,0,0,0,0
g__GGB3579,,,,0.58187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB57353,,,,0.29053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB3680,,,,0.23966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Leuconostoc,,,,0.21165,0.09038,0.02675,0,0,0,0,0.00405,0,0,0,0.00681,0,0,0,0.0125,0,0.01042,0
g__Amedibacterium,,,,0.19002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Flavonifractor,,,,0.15373,0.00117,0,0.01295,0,0,0,0,0.57006,0,0.00145,0.14501,0,0.01043,0.06462,0,0.05436,0.0629,0.33051
g__Tyzzerella,,,,0.11239,0,0,0,0,0,0,0,0.82162,0,0,0,0,0,0.1879,0,0,0,0
g__GGB3819,,,,0.10423,0,0,0.03831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Candidatus_Metaruminococcus,,,,0.09731,0,0,0,0,0,0,0,0,0.00834,0,0,0,0,0,0,0,0,0
g__Erysipelatoclostridium,,,,0.06926,0,0,0,0,0,0,0,1.2249,0,0.01221,0,0,0,0.00719,0,0,0,0.01487
g__GGB34900,,,,0.05714,0.00079,0,0,0,0,0.00662,0,0.03008,0,0.00019,0,0,0,0.01041,0,0.01653,0.01237,0.01728
g__GGB3602,,,,0.04256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB42389,,,,0.03417,0,0.00647,0,0,0,0.00852,0,0.02598,0,0,0,0,0.00097,0.00378,0,0,0,0.0158
g__GGB4456,,,,0.03363,0,0,0,0.00518,0,0,0,0,0.02621,0,0,0,0.0067,0,0,0,0.0196,0
g__GGB3463,,,,0.02969,0,0,0,0,0,0,0,0,0,0,0,0,0.04474,0,0,0.06159,0,0
g__Catenibacillus,,,,0.02564,0.00404,0.02218,0.00594,0,0,0,0,0,0,0,0,0,0.02337,0.00575,0,0.00852,0.01105,0.02473
g__Clostridia_unclassified,,,,0.01325,0.02898,0,0.00594,0.00426,0,0,0,0.63658,0,0.00097,0.00523,0.02425,0.01996,0,0,0.04842,0.0014,0.01427
g__Sellimonas,,,,0.00764,0,0,0,0,0,0,0,0.34696,0,0,0,0,0,0,0,0,0,0
g__GGB3612,,,,0.00521,0,0.03194,0.00487,0.02455,0,0,0,0,0.15383,0,0,0,0,0,0.02108,0,0,0
g__Enterococcus,,,,0.0047,0,0.11265,0,0,0,0.07042,0.45342,0.02712,0.07689,0,0.00027,0,0,0,0,0,0.00406,0.30015
g__GGB2987,,,,0.00367,0,0,0,0,0.00036,0,0,0,0,0,0,0,0.00212,0.01299,0,0.012,0,0.02363
g__GGB3264,,,,0.00334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Candidatus_Pseudoruminococcus,,,,0.00247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Bittarella,,,,0.00054,0,0,0,0,0.00204,0,0,0.00555,0,0,0,0,0.00401,0,0,0,0,0
s__Blautia_caecimuris,,,,6.03071,0,0,0.00317,0,0,0,0,1.30919,0,0,0,0,0.00158,0,0,0,0,0
s__Blautia_hansenii,,,,4.61102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Lacrimispora_saccharolytica,,,,2.92948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00686,0.0116,0,0
s__Blautia_argi,,,,1.96727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Faecalimonas_umbilicata,,,,1.65571,0,0,0,0,0,0,0,0.11158,0,0,0,0,0,0.09053,0,0,0,0
s__GGB3579_SGB47659,,,,0.58187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Roseburia_intestinalis,,,,0.50457,0,0.06984,0.06255,0.42465,0,0.0064,0,0.34823,0.01848,0,0,0.9385,0.1584,0.10264,0.06516,0.09651,0,0.01967
s__Eubacterium_sp_AF34_35BH,,,,0.48563,0.70159,0.09652,0,0,0,0,0.05477,0,0,0.06359,0,0.16119,0,0.24231,0,0.30135,0,0
s__Clostridium_butyricum,,,,0.35637,0.00865,0,0,0.00283,0.00061,0,0,1.69633,0,0,0.03116,0,0,0,0,0,0.00484,0
s__GGB57353_SGB58537,,,,0.29053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Blautia_producta,,,,0.27988,0,0,0,0,0,0,0,0.00729,0,0,0,0,0,0,0,0,0,0
s__GGB3680_SGB4994,,,,0.23966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Leuconostoc_mesenteroides,,,,0.21165,0.09038,0.02675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Amedibacterium_intestinale,,,,0.19002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Flavonifractor_plautii,,,,0.15373,0.00117,0,0.01295,0,0,0,0,0.57006,0,0,0.14501,0,0.01043,0,0,0.05436,0.0629,0.30319
s__Tyzzerella_nexilis,,,,0.11239,0,0,0,0,0,0,0,0.82162,0,0,0,0,0,0.1879,0,0,0,0
s__GGB3819_SGB5184,,,,0.10423,0,0,0.03831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Anaerostipes_caccae,,,,0.10366,0,0,0,0,0,0,0,0.10498,0,0,0,0,0,0,0,0,0,0
s__Candidatus_Metaruminococcus_caecorum,,,,0.09731,0,0,0,0,0,0,0,0,0.00834,0,0,0,0,0,0,0,0,0
s__Enterocloster_bolteae,,,,0.09432,0,0,0,0,0,0,0,0.10653,0,0,0,0,0,0,0,0,0,0
s__Lactococcus_cremoris,,,,0.0858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Bacteroides_nordii,,,,0.08404,0,0,0,0,0,0,0,0,0,0.01222,0.06965,0,0,0,0,0,0.01125,0.15904
s__Lactococcus_laudensis,,,,0.05985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB34900_SGB14891,,,,0.05714,0.00079,0,0,0,0,0.00662,0,0.03008,0,0.00019,0,0,0,0.01041,0,0.01653,0.01237,0.01728
s__Eubacteriaceae_bacterium_CHKCI004,,,,0.05252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Clostridium_spiroforme,,,,0.04751,0,0,0,0,0,0,0,0.02607,0,0.01221,0,0,0,0,0,0,0,0.01487
s__GGB3602_SGB4574,,,,0.04256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Gordonibacter_sp_An232A,,,,0.04042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01521
s__GGB42389_SGB59559,,,,0.03417,0,0.00647,0,0,0,0.00852,0,0.02598,0,0,0,0,0.00097,0.00378,0,0,0,0.0158
s__GGB4456_SGB6141,,,,0.03363,0,0,0,0.00518,0,0,0,0,0.02621,0,0,0,0.0067,0,0,0,0.0196,0
s__GGB3463_SGB4621,,,,0.02969,0,0,0,0,0,0,0,0,0,0,0,0,0.04474,0,0,0.06159,0,0
s__GGB5973_SGB4591,,,,0.02607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Catenibacillus_scindens,,,,0.02564,0.00404,0.02218,0.00594,0,0,0,0,0,0,0,0,0,0.02337,0.00575,0,0.00852,0.01105,0.02473
s__Erysipelatoclostridium_ramosum,,,,0.02175,0,0,0,0,0,0,0,1.19883,0,0,0,0,0,0.00719,0,0,0,0
s__Clostridia_bacterium_UC5_1_1D1,,,,0.01325,0.01506,0,0.00594,0.00426,0,0,0,0,0,0,0,0.02425,0.01996,0,0,0.04842,0.0014,0.01427
s__Sellimonas_intestinalis,,,,0.00764,0,0,0,0,0,0,0,0.34696,0,0,0,0,0,0,0,0,0,0
s__Collinsella_SGB59878,,,,0.00684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Mogibacterium_diversum,,,,0.00525,0.00973,0,0,0,0,0,0,0,0,0.00343,0,0,0,0.00484,0,0,0,0.009
s__GGB3612_SGB4882,,,,0.00521,0,0.03194,0.00487,0.02455,0,0,0,0,0.01992,0,0,0,0,0,0.02108,0,0,0
s__Collinsella_SGB14987,,,,0.00513,0,0,0,0,0,0,0,0.26828,0,0,0,0,0,0,0,0,0,0
s__Enterococcus_SGB6173,,,,0.0047,0,0.11265,0,0,0,0.07042,0.45342,0,0.07689,0,0.00027,0,0,0,0,0,0.00406,0.30015
s__Clostridium_SGB6179,,,,0.00402,0,0,0,0,0.00036,0,0.01855,0,0,0,0.45655,0,0,0,0,0,0.0064,0.00093
s__GGB2987_SGB3969,,,,0.00367,0,0,0,0,0.00036,0,0,0,0,0,0,0,0.00212,0.01299,0,0.012,0,0.02363
s__GGB3264_SGB4312,,,,0.00334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Candidatus_Pseudoruminococcus_merdavium,,,,0.00247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Bittarella_massiliensis,,,,0.00054,0,0,0,0,0.00204,0,0,0.00555,0,0,0,0,0.00401,0,0,0,0,0
s__Oscillibacter_valericigenes,,,,0.00028,0,0,0,0,0,0.09649,0,0,0,0,0,0,0,0.02457,0,0.35311,0,0.34605
t__SGB4862,,,,6.03071,0,0,0.00317,0,0,0,0,1.30919,0,0,0,0,0.00158,0,0,0,0,0
t__SGB4794,,,,4.61102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB4877,,,,2.9228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB4797,,,,1.96727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB4583,,,,1.65571,0,0,0,0,0,0,0,0.11158,0,0,0,0,0,0.09053,0,0,0,0
t__SGB47659,,,,0.58187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB4951,,,,0.50457,0,0.06984,0.06255,0.42465,0,0.0064,0,0.34823,0.01848,0,0,0.9385,0.1584,0.10264,0.06516,0.09651,0,0.01967
t__SGB5051,,,,0.48563,0.70159,0.09652,0,0,0,0,0.05477,0,0,0.06359,0,0.16119,0,0.24231,0,0.30135,0,0
t__SGB4037,,,,0.35637,0.00865,0,0,0.00283,0.00061,0,0,1.69633,0,0,0.03116,0,0,0,0,0,0.00484,0
t__SGB58537,,,,0.29053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB4786,,,,0.27988,0,0,0,0,0,0,0,0.00729,0,0,0,0,0,0,0,0,0,0
t__SGB4994,,,,0.23966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB7126,,,,0.21165,0.09038,0.02675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB4042,,,,0.19002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB15132,,,,0.15373,0.00117,0,0.01295,0,0,0,0,0.57006,0,0,0.14501,0,0.01043,0,0,0.05436,0.0629,0.30319
t__SGB4588,,,,0.11239,0,0,0,0,0,0,0,0.82162,0,0,0,0,0,0.1879,0,0,0,0
t__SGB5184,,,,0.10423,0,0,0.03831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB4529,,,,0.10366,0,0,0,0,0,0,0,0.10498,0,0,0,0,0,0,0,0,0,0
t__SGB63353,,,,0.09731,0,0,0,0,0,0,0,0,0.00834,0,0,0,0,0,0,0,0,0
t__SGB4758,,,,0.09432,0,0,0,0,0,0,0,0.10653,0,0,0,0,0,0,0,0,0,0
t__SGB7984,,,,0.0858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB1858,,,,0.08404,0,0,0,0,0,0,0,0,0,0.01222,0.06965,0,0,0,0,0,0.01125,0.15904
t__SGB7991,,,,0.05985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB14891,,,,0.05714,0.00079,0,0,0,0,0.00662,0,0.03008,0,0.00019,0,0,0,0.01041,0,0.01653,0.01237,0.01728
t__SGB4682,,,,0.05252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB6747,,,,0.04751,0,0,0,0,0,0,0,0.02607,0,0.01221,0,0,0,0,0,0,0,0.01487
t__SGB4574,,,,0.04256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB14805,,,,0.04042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01521
t__SGB59559,,,,0.03417,0,0.00647,0,0,0,0.00852,0,0.02598,0,0,0,0,0.00097,0.00378,0,0,0,0.0158
t__SGB6141,,,,0.03363,0,0,0,0.00518,0,0,0,0,0.02621,0,0,0,0.0067,0,0,0,0.0196,0
t__SGB4621,,,,0.02969,0,0,0,0,0,0,0,0,0,0,0,0,0.04474,0,0,0.06159,0,0
t__SGB4591,,,,0.02607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB59869,,,,0.02564,0.00404,0.02218,0.00594,0,0,0,0,0,0,0,0,0,0.02337,0.00575,0,0.00852,0.01105,0.02473
t__SGB6744,,,,0.02175,0,0,0,0,0,0,0,1.19883,0,0,0,0,0,0.00719,0,0,0,0
t__SGB14995,,,,0.01325,0.01506,0,0.00594,0.00426,0,0,0,0,0,0,0,0.02425,0.01996,0,0,0.04842,0.0014,0.01427
t__SGB4617,,,,0.00764,0,0,0,0,0,0,0,0.34696,0,0,0,0,0,0,0,0,0,0
t__SGB59878,,,,0.00684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB4701,,,,0.00668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00686,0.0116,0,0
t__SGB3922_group,,,,0.00525,0.00973,0,0,0,0,0,0,0,0,0.00343,0,0,0,0.00484,0,0,0,0.009
t__SGB4882,,,,0.00521,0,0.03194,0.00487,0.02455,0,0,0,0,0.01992,0,0,0,0,0,0.02108,0,0,0
t__SGB14987,,,,0.00513,0,0,0,0,0,0,0,0.26828,0,0,0,0,0,0,0,0,0,0
t__SGB6173,,,,0.0047,0,0.11265,0,0,0,0.07042,0.45342,0,0.07689,0,0.00027,0,0,0,0,0,0.00406,0.30015
t__SGB6179,,,,0.00402,0,0,0,0,0.00036,0,0.01855,0,0,0,0.45655,0,0,0,0,0,0.0064,0.00093
t__SGB3969,,,,0.00367,0,0,0,0,0.00036,0,0,0,0,0,0,0,0.00212,0.01299,0,0.012,0,0.02363
t__SGB4312,,,,0.00334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB71394,,,,0.00247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB7263,,,,0.00054,0,0,0,0,0.00204,0,0,0.00555,0,0,0,0,0.00401,0,0,0,0,0
t__SGB15076,,,,0.00028,0,0,0,0,0,0.09649,0,0,0,0,0,0,0,0.02457,0,0.35311,0,0.34605
c__CFGB4806,,,,,4.0278,0,0,0,0,0,0,0,0,0,0,0.25414,1.58992,2.55897,4.63113,0,0,0
c__CFGB9583,,,,,0.04595,0,0,0,0,0,0,0,0,0,0,0.00361,0,0,0,0,0,0
c__CFGB2880,,,,,0.03029,0,0,1.14379,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c__CFGB9238,,,,,0.00443,0,0,0,0,0.01086,0,0,0,0,0.01329,0,0,0,0,0,0,0
c__Candidatus_Melainabacteria_unclassified,,,,,0.00028,0,0,0,0,0,0,0,0,0.00684,0.17913,0,0,0,0,0,0,0
o__OFGB4806,,,,,4.0278,0,0,0,0,0,0,0,0,0,0,0.25414,1.58992,2.55897,4.63113,0,0,0
o__OFGB9583,,,,,0.04595,0,0,0,0,0,0,0,0,0,0,0.00361,0,0,0,0,0,0
o__OFGB2880,,,,,0.03029,0,0,1.14379,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o__OFGB9238,,,,,0.00443,0,0,0,0,0.01086,0,0,0,0,0.01329,0,0,0,0,0,0,0
o__Candidatus_Gastranaerophilales,,,,,0.00028,0,0,0,0,0,0,0,0,0.00684,0.17913,0,0,0,0,0,0,0
f__FGB4806,,,,,4.0278,0,0,0,0,0,0,0,0,0,0,0.25414,1.58992,2.55897,4.63113,0,0,0
f__FGB9583,,,,,0.04595,0,0,0,0,0,0,0,0,0,0,0.00361,0,0,0,0,0,0
f__FGB2880,,,,,0.03029,0,0,1.14379,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f__FGB9238,,,,,0.00443,0,0,0,0,0.01086,0,0,0,0,0.01329,0,0,0,0,0,0,0
f__Candidatus_Gastranaerophilales_unclassified,,,,,0.00028,0,0,0,0,0,0,0,0,0.00684,0.17913,0,0,0,0,0,0,0
g__GGB51647,,,,,4.0278,0,0,0,0,0,0,0,0,0,0,0.25414,1.58992,2.55897,4.63113,0,0,0
g__GGB3167,,,,,1.81947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB4605,,,,,0.33714,0,0,0,0.05497,0,0,0,0,0,0,0,0,0,0,0.15628,0,0
g__GGB3490,,,,,0.04595,0,0,0,0,0,0,0,0,0,0,0.00361,0,0,0,0,0,0
g__Desulfovibrio,,,,,0.03803,0.03688,0.0468,0.06104,0,0,0,0,0.12507,0.01934,0,0,0,0,0,0,0.17274,0
g__Latilactobacillus,,,,,0.03757,0,0,0,0.04728,0,0,0,0,0,0,0,0,0.00221,0,0,0,0
g__Monoglobus,,,,,0.03417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04326,0
g__GGB9184,,,,,0.03029,0,0,1.14379,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB9185,,,,,0.02907,0,0,0,0,0,0,0,0,0,0,0,0,0.00847,0,0,0,0
g__GGB9501,,,,,0.02313,0.01377,0.03234,0,0.01226,0,0,0,0,0.01459,0,0,0,0,0,0.01328,0,0
g__GGB58485,,,,,0.01436,0.00285,0,0,0,0,0,0,0,8e-05,0,0,0,0,0,0,0,0
