Abundance,SAMN03351695,SAMN03351542,SAMN03351487,SAMN03351503,SAMN03351584,SAMN03351571,SAMN03351475,SAMN03351603,SAMN03351602,SAMN03351489,SAMN03351666,SAMN03351563,SAMN03351468,SAMN03351659,SAMN03351447,SAMN03351485,SAMN03351448,SAMN03351537,SAMN03351599,SAMN03351478,SAMN03351453,SAMN03351689,SAMN03351647,SAMN03351461,SAMN03351495,SAMN03351476,SAMN03351708,SAMN03351718,SAMN03351482,SAMN03351454,SAMN03351444,SAMN03351521,SAMN03351466,SAMN03351477,SAMN03351627,SAMN03351544,SAMN03351713,SAMN03351706,SAMN03351467,SAMN03351677,SAMN03351449,SAMN03351510,SAMN03351608,SAMN03351452,SAMN03351723,SAMN03351490,SAMN03351492,SAMN03351450,SAMN03351493,SAMN03351441,SAMN03351555,SAMN03351628,SAMN03351672,SAMN03351633,SAMN03351497,SAMN03351566,SAMN03351532,SAMN03351703,SAMN03351486,SAMN03351578,SAMN03351648,SAMN03351572,SAMN03351617,SAMN03351455,SAMN03351543,SAMN03351442,SAMN03351481,SAMN03351660,SAMN03351549,SAMN03351460,SAMN03351595,SAMN03351479,SAMN03351446,SAMN03351577,SAMN03351488,SAMN03351445,SAMN03351484,SAMN03351654,SAMN03351469,SAMN03351513,SAMN03351483,SAMN03351506,SAMN03351491,SAMN03351451,SAMN03351496,SAMN03351443,SAMN03351494,SAMN03351480,SAMN03351683
g__Gordonibacter,,,,,0.05444,0,0,0,0,0.03011,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.00846,0,0,0,0,0,0,0,0,0.00377,0,0,0,0,0.01761,0,0.00625,0,0,0,0,0,0.00403,0.03851,0,0.01125,0.00068,0,0,0,0,0,0,0,0.05339,0,0.03759,0,0,0.00879,0,0,0,0,0,0.00033,0,0,0,0,0.00025,0,0.0414,0,0,0,0,0,0,0,0.00025,0,0
g__Negativibacillus,,,,,0.05208,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02049,0,0,0,0,0,0,0,0,0,0,0.05754,0,0,0,0,0,0,0.03499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Massilicoli,,,,,0.04703,0,0,0,0,0,0,0,0,0.0,0,0,0.01211,0.0,0,0.00898,0,0,0,0,0,0,0.0306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03047,0,0,0
g__GGB45432,,,,,0.04528,0,0,0,0,0.01021,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.00563,0,0,0,0,0,0,0,0.00454,0,0,0.00517,0.00588,0,0.00172,0,0,0,0,0,0,0,0,0.00393,0,0,0,0,0,0,0,0,0,0,0,0,0.0482,0,0,0.00292,0,0,0,0,0,0,0,0,0,0.0027,0,0,0.02954,0,0,0,0,0,0,0.02645,0,0,0
g__Christensenellaceae_unclassified,,,,,0.04304,0,0,0,0,0.00923,0,0,0,0.0,0,0,0,0.0,0,0,0,0.00112,0,0.00473,0,0,0,0,0,0,0,0,0,0,0.03192,0,0,0.02279,0.02046,0,0,0,0.0004,0,0.02067,0,0,0,0,0.01787,0,0,0,0,0,0,0,0,0.00108,0.00216,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00422,0.00183,0.00848,0,0,0,0,0,0,0,0,0,0.01843,0.0034,0,0
g__GGB3819,,,,,0.03828,0,0.12462,0,0.09863,0,0.02402,0,0.04736,0.0,0.03664,0,0,0.0,0,0,0.03929,0,0,0,0,0.01503,0.00643,0,0.08603,0,0.13709,0,0.05343,0,0,0,0,0,0,0.02102,0.17576,0,0.03808,0,0,0.10043,0,0.04976,0.00064,0,0,0,0,0.42793,0,0,0,0,0,0,0,0.00282,0,0,0,0,0.00179,0,0,0,0.01951,0.02772,0,0,0,0,0,0.04898,0.91675,0,0,0.08638,0.00588,0,0.07733,0,0,0,0
g__Proteus,,,,,0.03137,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB9832,,,,,0.02716,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB9559,,,,,0.02294,0,0.04998,0,0.0133,0.00316,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.00923,0,0,0,0,0,0,0,0,0.00669,0.01398,0.06956,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00508,0.10391,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00732,0,0,0,0,0,0,0,0,0,0.03981,0.00078,0.00172,0,0,0,0,0,0,0,0.02531,0.007,0,0.02332
g__GGB58233,,,,,0.02285,0,0,0,0.00364,0.00184,0.00296,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.00082,0,0.00442,0,0,0,0,0,0,0.00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00154,0,0,0,0,0,0,0,0,0,0,0,0.00807,0,0,0,0,0,0.00245,0.00071,0,0,0,0,0,0.00503,0,0,0,0,0,0,0,0.00271,0,0.0047,0
g__Schaalia,,,,,0.02123,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB1456,,,,,0.02038,0,0,0,0,0.0061,0,0,0,0.0,0.00877,0,0,0.0,0,0,0,0,0,0.00171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00145,0,0,0,0,0,0.01228,0
g__GGB2848,,,,,0.01799,0.00468,0,0,0,0.00735,0,0,0,0.0,0,0,0,0.0,0,0.00112,0,0.00988,0,0,0,0,0,0,0,0,0,0,0.00172,0.29165,0.00391,0,0.00255,0,0,0,0,0,0.01917,0,0.15688,0,0,0,0,0,0,0.00965,0,0,0,0,0,0,0,0.0175,0,0,0,0,0,0,0,0,0,0,0.00476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00673,0.00793
g__GGB3653,,,,,0.01693,0,0,0,0,0.08886,0,0,0,0.0,0.06077,0.01117,0,0.0,0.02783,0.03635,0,0,0,0.00796,0,0,0,0,0,0,0,0,0.0023,0,0.10886,0,0,0.02276,0.00652,0,0,0,0,0,0.11878,0,0,0,0.09906,0.21544,0.05342,0.0021,0,0,0,0.18157,0.00051,0,0.04773,0.01466,0.01201,0,0,0,0,0,0.01152,0.00052,0.17103,0.29438,0.00656,0,0,0.05424,0.03673,0,0,0.00446,0.02191,0.01203,0,0,0,0,0,0.15568,0.00126,0.15582,0.06215
g__GGB9474,,,,,0.01572,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.00109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01031,0,0,0,0,0,0,0,0,0,0,0
g__Intestinibacter,,,,,0.01514,0,0,0,0,0,0,0,0,0.0,0,0.00017,0,0.0,0.00629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00147
g__Sellimonas,,,,,0.01351,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109,0,0,0,0,0,0,0,0,0,0
g__Christensenella,,,,,0.01335,0,0,0,0,0.00618,0,0,0,0.0,0,0,0,0.0,0,0,0.00091,0,0,0,0,0,0,0,0,0,0,0,0.00097,0,0.00405,0,0,0.00428,0.01491,0,0.00399,0,0.00684,0,0.01635,0,0,0,0.00053,0.05221,0,0,0,0,0,0,0,0,0.0148,0,0,0,0,0,0,0.00825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02538,0,0.0066,0
g__Campylobacter,,,,,0.01232,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.00709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Dielma,,,,,0.0118,0,0,0,0.02323,0.00798,0.01476,0,0,0.0,0.0004,0,0,0.0,0.0008,0,0.00276,0.00221,0.08868,0,0,0.0063,0,0,0,0,0.01135,0,0.00277,0.00169,0,0,0,0,0,0,0.00515,0,0,0,0.0572,0.00459,0,0,0,0.02736,0,0,0,0,0,0,0,0,0,0.01977,0.00796,0,0,0,0,0.00903,0,0,0,0,0,0,0.02742,0,0,0,0,0,0.00729,0,0,0,0,0,0.004,0.02068,0,0.06248,0
g__Massiliimalia,,,,,0.0118,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00336,0,0,0,0,0,0.02641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00208,0,0,0,0,0,0,0,0,0,0.00188,0,0,0,0,0,0,0,0.00343,0,0,0,0,0,0,0,0.00796,0,0.00044,0
g__GGB3490,,,,,0.01124,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.00196,0,0,0,0,0,0.0142,0,0,0,0,0,0,0,0,0,0,0,0.01298,0,0,0,0,0,0,0,0,0,0,0,0.01003,0,0.09879,0.00984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00583,0,0,0,0,0,0,0.01727,0,0
g__Fusobacterium,,,,,0.00927,0,0,0,0,0,0.00449,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32709,0.04146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462,0,0,0,0,0,0,0
g__GGB1455,,,,,0.00846,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB38873,,,,,0.0082,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB38744,,,,,0.00791,0,0,0,0,0.00498,0,0,0,0.0,0.00749,0,0,0.0,0,0,0.01642,0,0,0,0,0,0.00304,0,0,0,0,0,0,0,0.00223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Peptostreptococcus,,,,,0.00647,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB3446,,,,,0.00543,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01695,0,0,0,0,0,0,0,0,0,0.00802,0
g__Rheinheimera,,,,,0.00351,0,0,0,0.01882,0.02238,0,0,0,0.0,0.0179,0,0.04412,0.0,0,0.01366,0.02502,0.00723,0.00577,0,0.0809,0.01339,0,0,0.01534,0,0.08905,0.10942,0.0108,0,0.01312,0,0.00896,0,0,0,0.10476,0.00644,0.0037,0.0077,0,0,0,0,0,0,0,0.00903,0.0123,0,0,0.02526,0,0.08691,0,0,0.1057,0,0,0,0.04382,0,0.0004,0,0,0,0.03714,0.04343,0,0.01896,0,0,0.00562,0.04389,0,0,0.01388,0,0.00393,0,0.00237,0,0.00799,0,0
g__Cuneatibacter,,,,,0.00342,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.00063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00774,0,0,0,0,0,0,0,0,0,0,0
g__Erysipelotrichaceae_unclassified,,,,,0.00338,0,0,0,0,0.00316,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588,0,0,0,0,0.18376,0,0,0,0,0,0,0,0,0,0,0,0.10714,0,0
g__Lactococcus,,,,,0.00293,0,0,0,0,0.005,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00927,0,0,0,0
g__GGB1215,,,,,0.00258,0,0,0,0,0.00714,0,0,0,0.0,0.00852,0,0,0.0,0,0.00164,0,0,0,0.00719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00912,0,0,0
g__Ezakiella,,,,,0.00216,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Intestinibacillus,,,,,0.00165,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Massilioclostridium,,,,,0.00153,0,0,0,0,0.00185,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.00452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01002,0,0.01335,0,0,0,0,0,0,0,0.00206,0,0,0,0,0,0,0,0,0,0,0.00784,0,0,0,0,0,0,0
g__GGB1460,,,,,0.00129,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB3444,,,,,0.00086,0,0,0,0,0,0,0,0,0.0,0,0,0.00156,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.01021,0.00398,0,0,0,0,0,0,0.00019,0,0.00613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201,0,0,0,0,0.00646,0,0.00015,0,0,0,0,0,0,0,0,0,0.03785,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00211,0.00391,0
g__GGB4586,,,,,0.00083,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.05372,0,0,0,0,0,0,0.55036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB58158,,,,,0.00073,0,0,0,0,0.00018,0,0,0,0.0,0.00244,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00256,0.00469,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00934,0,0,0,0,0,0,0,0,0,0.00286,0,0,0.00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00186,0
s__GGB79916_SGB4587,,,,,3.40231,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.01468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00371,0,0,0.00282,0,0,0,0,0,0,0.01734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB1266_SGB1699,,,,,2.17333,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,8.16834,0,0.8102,0,0,0,0,0,0,0,13.02443,0,0,0,2.23088,0,0,0,0,0,0,0,0,0,0,4.55566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52757,0,7.241,0,0,0,0,0,0,0.80988,0,0
s__Ruminococcus_gnavus,,,,,1.73944,0,0,0.3451,0.23802,0.00192,0,0,0.03054,0.0,0,0,0.00489,0.0,0.0046,0,1.22454,0,0.02189,0,0,0.11296,0.00992,0.21089,0.00704,0.04809,0.06135,1.36434,0,0.01955,0,0,0.00102,0.00889,0.02369,0.01213,0.14282,0,0.00457,0,0,0,0.00356,0,0.00051,0,0,0.02751,0.06835,0.82886,0.21489,0,0,0.1816,0,0,0,0,0.00698,0,0.63556,0,0,0,0,0,0.22826,0,0.0857,0,0,0,0,0.35291,0.03307,0,0,1.02221,0,0.61704,0.35697,0,0,0.02058,0
s__Parabacteroides_acidifaciens,,,,,1.28213,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,1.11472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22941,0,0,0,0,0,0,0,0,0,0,0
s__Bacteroidales_bacterium,,,,,1.17225,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,1.36301,0,0,0,0,0,0,0,0,0,0.01911,0,0,0.29211,0,0,0,0,0,0,0,0,0,0,0,0.01669,0,0,0,0,0.19057,0,0,0,0,0,0,0,0,0,0,0.20101,0,0,0,0,0,0,0,0,0,0.01829,0,0.00589,0,0,0,0,0,0,0,0,0
s__Emergencia_timonensis,,,,,0.70438,0,0.00234,0,0,0,0,0,0.02166,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.05004,0,0,0,0,0,0,0,0,0,0,0,0.02724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11116,0,0,0,0,0.00239,0,0,0,0,0,0,0,0,0,0.0487,0
s__Bifidobacterium_pseudocatenulatum,,,,,0.52416,0,0.0015,0,0.04205,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.05455,0,0,0,0.06525,0,0,0,0.00124,0.08023,0.01255,0,0,0.11158,0,0,0,0,0,0,0.00854,0,0,0,0,0,0.08045,0.15987,0.1147,0,0,0,0.02284,0,0,0,0.02961,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82639,0,0,0.07747,0,0,0.13237,0,0.08271,0,0,0.06805,0,0,0,0.00583,0
s__GGB9719_SGB15273,,,,,0.49287,0,0.00058,0,0,0.00551,0.02432,0.04908,0,0.0,0.00818,0,0,0.0,0,0.01982,0,0,0,0,0,0,0.17332,0,0,0.01323,0.03257,0,0,0.12412,0.01963,0,0,0.02961,0,0,0,0.019,0,0.00306,0.02527,0,0,0,0.03016,0.00632,0,0.00129,0,0,0,0,0,0,0.05706,0.0059,0.02935,0,0,0,0.07356,0.00878,0,0,0,0,0.03437,0,0,0,0,0,0,0.37057,0,0,0,0,0.01595,0,0,0.08109,0,0,0
s__Desulfovibrio_desulfuricans,,,,,0.48981,0,0.0322,0,0,0,0,0,0,0.0,0.09388,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01107,0.00402,0,0,0,0,0,0,0.02695,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Parabacteroides_goldsteinii,,,,,0.35237,0,0,0,0,0.5368,0,0,0,0.0,0.30696,0,0,0.0,0,0.5655,0,0,0,0.01795,0,0.01091,1.15618,0.11822,0.00906,0,0,0,0,0,0,0,0,0.24247,0,0,0,0,0,0.615,0,0.02503,0.01728,0,0,0.11056,0,0,0,0,0,0,0,0,0.02832,0,0,0,0.13066,0,0,0,0.02993,0,0,0,0.0617,0.08029,0,0,0,0.01467,0,0.03147,0,0,0,0,0,0,0,0.1105,0,0.2135,0
s__Candidatus_Timburyella_stercoris,,,,,0.32266,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Clostridium_leptum,,,,,0.26468,0,0.02256,0,0.14117,0.10414,0.02924,0.00909,0,0.0,0.05844,0.02395,0.05771,0.0,0.01341,0.0011,0,0,0,0,0.01109,0,0.05017,0.00584,0,0.09128,2.53428,0,0.09953,0,0.00698,0,0.00378,0.14099,0.03612,0.00566,0.02698,0,0,0,0.2917,0,0,0,0.01989,0.02866,0.00291,0.01261,0.01575,0.42602,0,0.04775,0,0,0.0083,0.01614,1.586,0,0.13819,0,0.0046,0.02381,0.01536,0.02747,0.18109,0.02197,0.12825,0,0,0.0503,0.08696,0,0.01165,0.39767,0.06756,0,0,0.0688,0.0012,0,0,0.18521,0.01681,0.00604,0.02656
s__GGB9531_SGB14932,,,,,0.22667,0,0.0636,0,0.00512,0.03701,0,0,0,0.0,0.02998,0.04723,0.00092,0.0,0,0.11124,0,0.0603,0,0.14353,0,0,0.04296,0,0.04963,0,0,0,0.00967,0,0.0182,0,0,0.04691,0,0.03847,0,0,0.04171,0.09901,0.05899,0,0,0,0,0.02828,0,0,0,0,0,0.00959,0,0,0,0.06587,0,0,0,0,0,0.02319,0.01133,0.01446,0,0,0.01785,0.00134,0,0,0.01346,0,0,0.0088,0,0,0,0,0.02187,0,0,0.26182,0,0.07684,0
s__Clostridiales_bacterium_NSJ_32,,,,,0.20181,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.00458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00285,0,0,0,0,0,0,0,0,0,0.03836,0
s__Catenibacterium_SGB4425,,,,,0.16901,0,0,0,0,0,0,0,0,0.0,0,0.04207,0,0.0,0,0,0,0,0,0,0,0,0.02383,0,0,0,0,0,0,0,0.02675,0,0,0,0,0,0.05098,0,0.03705,0,0.02551,0,0,0,0,0,0.08814,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09261,0.00491,0,0.11515,0,0,0,0,0,0,0.06309,0,0.02852,0,0,0.00024,0.00408,0,0,0,0,0,0.02055,0.28558,0
s__Blautia_hydrogenotrophica,,,,,0.14664,0,0.0078,0,0,0.00108,0,0,0,0.0,0,0,0,0.0,0.01403,0,0,0,0,0,0,0,0,0,0,0,0,0.02319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00226,0,0,0,0,0,0,0,0,0.02275,0,0.01204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08291,0,0,0,0,0,0,0,0,0.01068,0
s__GGB32387_SGB47381,,,,,0.12765,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.06943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00722,0,0,0,0,0,0,0,0,0,0,0
s__Hungatella_hathewayi,,,,,0.11799,0,0,0,0,0,0,0,0,0.0,0.00681,0,0,0.0,0.00543,0,0,0,0.0188,0,0,0,0.13949,0.01852,0,0,0,0,0,0,0,0,0,0,0.00858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00594,0,0,0,0.1144,0.00557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00163,0,0,0,0.0324,0,0,0,0.05972,0,0.04114,0
s__Collinsella_SGB4121,,,,,0.11454,0.00948,0.04441,0,0.01472,0.0168,0.02759,0.00376,0.00406,0.0,0.06152,0,0.02067,0.0,0.06433,0.12561,0.05134,0,0.0114,0,0,0.21443,0.03472,0,0.01003,0.00358,0.05064,0.03149,0.01505,0,0,0,0.02882,0.07363,1.04682,0,0.09928,0.01619,0.03674,0.01265,0,0,0,0,0.02331,0.28841,0.004,0.00971,0.11736,0.03742,0,0,0,0.00452,0.01939,0,0.38492,0,0,0,0.00211,0,0,0,0,0,0.03588,0.00312,0.03736,0.03074,0.04702,0,0,0.00468,0.05379,0,0,0.10799,0,0,0.01975,0.12417,0.01923,0.04159,0
