Abundance,PSM6XBSE,ESM5GEZA,PSM6XBSG,CSM5MCYU,CSM67U9H,MSM5LLIQ,CSM7KOU7,CSM79HLY,CSM5FZ4E,MSM9VZN4,CSM67U9T,MSM79H9U,CSM79HGH,CSM67UEW,CSM7KOUJ,CSM67U9R,HSM5MD44,CSM79HQT,ESM5MEC7,CSM5MCYO,CSM79HGD,CSM79HGL,CSM5FZ4G,MSM5LLHV,CSM5MCYQ,CSM7KONY,ESM5MEA7,CSM7KONS,CSM79HNG,CSM79HQR,CSM5MCUW,ESM5GEZ6,ESM5MEEJ,CSM79HGJ,MSM79HF1,CSM5MCUQ,CSM5MCUS,CSM7KONW,CSM79HPM,ESM5GEZ4,CSM7KOQ5,MSM6J2N6,HSM7J4JV,CSM5MCUE,CSM5MCUY,CSM79HM5,MSM9VZJF,CSM67UF1,ESM5MEAB,MSM5LLFU,CSM79HM9,CSM5MCUC,CSM67U9P,CSM5MCU8,HSM7CZ2X,HSM7CZ1T,CSM5MCUG,PSM7J1C2,CSM5FZ4K,CSM7KOMR,HSM5MD87,MSM5LLFK,CSM5MCYM,CSM5MCUK,CSM5MCWM,HSM6XRQE,CSM67UEP,ESM5MEA9,HSM7J4JT,MSM5LLFM,CSM67UET,CSM5MCWS,CSM79HGF,CSM79HGN,HSM5MD47,CSM7KOMV,MSM79HD8,CSM5MCTZ,CSM5MCUA,HSMA33P2,CSM5MCXB,CSM79HPQ,CSM5FZ4A,MSM9VZNV,MSM5LLFO,MSM79HD6,CSM5MCYI,HSM5MD43
g__Longicatena,,,,,,,,,0.01053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00074,0,0,0,0,0,0,0,0,0,0.03719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14127,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Evtepia,,,,,,,,,0.00823,0,0,0.00738,0,0,0,0,0,0,0,0,0,0,0.00132,0,0,0,0,0,0,0,0.00069,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0,0,0,0,0,0,0,0,0.08906,0,0.01242,0,0,0.14319,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.01836,0,0,0,0,0,0,0,0
g__GGB9719,,,,,,,,,0.00533,0,0.0493,0,0,0,0,0,0,0,0,0,0,0,0.01603,0,0,0,0,0,0.11584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29277,0,0,0.04702,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Longibaculum,,,,,,,,,0.00245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00074,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Holdemania,,,,,,,,,0.00196,0,0.06314,0,0,0,0,0,0,0,0.04263,0,0,0,0.03174,0,0.05593,0,0,0,0,0,0.15472,0,0,0,0,0,0.05817,0,0,0,0.05816,0,0,0,0.04946,0,0.00413,0.02236,0,0,0,0,0,0.00951,0.07595,0.02096,0.05759,0,0.11454,0,0.03257,0,0.00134,0.07974,0,0,0,0.0786,0.02079,0,0,0.0,0.03062,0,0,0,0,0.05943,0,0.02343,0,0,0,0,0,0.05877,0,0.00085
s__GGB3267_SGB4317,,,,,,,,,0.95187,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49279,0,0,0,0,0,0.82098,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Parabacteroides_johnsonii,,,,,,,,,0.85319,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12253,0,0,0,0,0,0.86527,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Clostridiaceae_unclassified_SGB15090,,,,,,,,,0.3077,0,0,0.00412,0,0,0,0,0,0,0,0,0,0,0.36704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90527,0,0,0,0,0,0.06079,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Butyricimonas_virosa,,,,,,,,,0.28469,0,0,0.15034,0,0,0,0,0,0,0,0,0,0,0.37092,0,0,0,0,0,0,0,0,0,0,0,0.13215,0,0,0,0,0,0,0,0.02466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60155,0,0,0,0,0,0.12056,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Bilophila_wadsworthia,,,,,,,,,0.22235,0.01619,0,0.054,0,0,0,0,0,0,0.04817,0.0268,0,0,0.15981,0.92848,0,0,0,0,0,0,0.73015,0.02364,0,0,0.04744,0.71371,0.19307,0,0,0,0,0,0,0.30911,0.3099,0,0,0,0,0,0,0.35327,0,2.40521,0,0.08629,0.01315,0,0,0,0.0502,0,0,0.03337,0.02512,0,0,0,0.07555,0,0,0.0,0,0,0,0,0.04545,0.05667,0.52504,0.49126,0.04959,0,0.20975,0,0,0,0,0.01295
s__Alistipes_indistinctus,,,,,,,,,0.11173,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00814,0,0,0,0,0,0,0,0,0,0,0,0.00356,0,0,0,0,0,0,0,0.00704,0,0,0,0.04316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0207,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Candidatus_Borkfalkia_ceftriaxoniphila,,,,,,,,,0.09948,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1526,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB9512_SGB14909,,,,,,,,,0.08337,0,0,0.09102,0,0,0,0,0,0,0,0,0,0,0.02801,0,0,0,0,0,0,0,0.34288,0,0,0,0,0,0.18873,0,0,0,0,0,0,0,0.24306,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14416,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.00956,0,0,0,0,0,0,0,0,0,0,0
s__GGB3817_SGB5182,,,,,,,,,0.05965,0,0,0,0,0,0,0,0,0,0.01239,0,0,0,0.13273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20023,0,0,0,0,0,0.04246,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03081,0,0
s__GGB42994_SGB4746,,,,,,,,,0.05564,0,0.22764,0,0,0,0,0,0,0,0,0,0,0,0.02326,0,0,0,0,0,0,0,0.51527,0,0,0,0,0.04185,0.01903,0.01874,0,0,0.01232,0,0,0.14564,0.06692,0,0,0,0,0,0,0.3324,0,1.40878,0.03573,0,0.0172,0,0.09409,0,0,0,0,0.02388,0.03111,0,0,0,0,0,0,0.0,0,0,0,0,0,0.13926,0.18894,0,0,0,0.05954,0.18793,0,0,0,0
s__Collinsella_tanakaei,,,,,,,,,0.04828,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03224,0,0,0,0,0,0.00883,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB9186_SGB14125,,,,,,,,,0.03978,0,0,0,0.12823,0,0,0.03553,0,0,0,0,0.05943,0,0.50063,0,0,0,0,0,0.05523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01225,0,0.64547,0,0,0,0,0.19882,0.04832,0,0,0,0,0,0,0.0,0.04951,0.01328,0,0,0,0,0,0,0,0.00138,0,0,0,0,0,0
s__Lacrimispora_saccharolytica,,,,,,,,,0.03937,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04493,0,0,0.01271,0,0,0,0,0,0.17992,0,0.04403,0,0.29577,0,0,0,0,0.11871,0,0,0,0,0,0.01451,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00578,0,0,0,0,0,0,0,0,0
s__GGB9619_SGB15066,,,,,,,,,0.03265,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02231,0,0,0,0.03351,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB9621_SGB15073,,,,,,,,,0.03078,0,0,0,0,0,0,0,0,0,0,0.03657,0,0,0.19496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88545,0,0,0,0,0,0,0,0,0,0,0,0,0.01335,0,0,0,0,0.4234,0,0,0,0,0,0.05072,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Alcaligenes_SGB14037,,,,,,,,,0.02989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03383,0,0,0,0,0,0.27999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01898,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB2848_SGB3813,,,,,,,,,0.02566,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04216,0,0,0,0,0,0,0,0,0,0,0,0.0171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02799,0,0,0,0,0,0,0,0.04584,0.01612,0,0,0.0035,0,0,0,0,0,0,0,0,0.0,0,0,0,0.04123,0,0,0,0,0.03477,0,0,0,0,0,0.01691,0
s__Anaerotruncus_colihominis,,,,,,,,,0.02161,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01507,0,0.20647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.00372,0,0,0,0,0,0.02496,0,0,0,0,0,0,0,0,0
s__Clostridiales_bacterium_1_7_47FAA,,,,,,,,,0.01685,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03639,0,0,0,0,0,0,0,0,0.00058,0,0,0,0,0,0,0,0.00559,0,0,0,0,0,0,0,0,0.00272,0,0,0,0,0,0,0,0,0,0.03451,0,0,0,0,0,0.00228,0,0,0.0117,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB4802_SGB6641,,,,,,,,,0.01678,0,0,0,0,0,0,0,0,0,0,0,0.0267,0,0.08202,0,0,0,0,0,0,0,0.10257,0,0,0,0,0,0.0412,0.07719,0,0,0,0,0,0,0.06222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01611,0,0,0,0,0,0.02409,0,0,0,0,0,0,0.0,0.0223,0.01942,0,0,0,0,0,0,0,0.00565,0,0.02951,0,0,0,0
s__Lachnoclostridium_sp_An181,,,,,,,,,0.01573,0,0,0,0,0,0.02522,0,0,0,0,0,0,0,0.04766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08956,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB33586_SGB53517,,,,,,,,,0.01568,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00624,0,0,0,0,0,0.00873,0,0,0,0,0,0,0,0.05715,0,0.00929,0,0,0,0,0.03367,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0329,0,0,0,0,0,0,0,0,0
s__Blautia_hydrogenotrophica,,,,,,,,,0.01278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02585,0,0,0,0,0,0,0,0,0,0,0,0,0.02331,0,0,0,0,0.01435,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB3499_SGB4674,,,,,,,,,0.01252,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Anaeromassilibacillus_sp_An250,,,,,,,,,0.01111,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05459,0,0,0,0,0,0.31781,0,0,0.04169,0,0,0,0,0,0,0,0,0.09254,0,0,0,0,0,0,0,0,0,0,0.05208,0,0.03582,0,0,0,0,0.00223,0,0.00635,0,0,0,0,0,0,0.12208,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Blautia_glucerasea,,,,,,,,,0.01073,0.03157,0,0,0,0,0,0,0,0,0,0,0,0,0.00787,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00932,0,0,0,0,0,0,0,0,0,0.05817,0,0,0,0,0,0,0,0,0,0.08976,0,0,0.13843,0,0,0,0.02288,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.11387,0,0,0,0,0,0,0,0,0,0
s__Longicatena_caecimuris,,,,,,,,,0.01053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00074,0,0,0,0,0,0,0,0,0,0.03719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14127,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Collinsella_SGB14861,,,,,,,,,0.00911,0,0,0,0,0,0,0,0,0,0.05654,0,0,0,0.01055,0,0,0,0,0,1.98962,0,0,0.0152,0,0,0.0306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0,0.06876,0,0,0.00194,0,0,0,0.06433,0,0,0,0.0,0,0,0,0,0,0,0,0.05476,0,0,0,0,0,0,0,0
s__Evtepia_gabavorous,,,,,,,,,0.00823,0,0,0.00738,0,0,0,0,0,0,0,0,0,0,0.00132,0,0,0,0,0,0,0,0.00069,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0,0,0,0,0,0,0,0,0.08906,0,0.01242,0,0,0.14319,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.01836,0,0,0,0,0,0,0,0
s__GGB9719_SGB15273,,,,,,,,,0.00533,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04702,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Acidaminococcus_SGB5735,,,,,,,,,0.00295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00147,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Longibaculum_muris,,,,,,,,,0.00245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00074,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Holdemania_filiformis,,,,,,,,,0.00196,0,0.06314,0,0,0,0,0,0,0,0.04263,0,0,0,0.03174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00413,0,0,0,0,0,0,0.00951,0.07595,0.02096,0.05759,0,0.11454,0,0.03257,0,0,0.07974,0,0,0,0,0.02079,0,0,0.0,0,0,0,0,0,0.05943,0,0,0,0,0,0,0,0,0,0.00085
s__Blautia_caecimuris,,,,,,,,,0.00131,0,0.0607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02745,0,0,0,0.08161,0,0,0,0,0.00545,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB4317,,,,,,,,,0.95187,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49279,0,0,0,0,0,0.82098,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB1948,,,,,,,,,0.85319,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12253,0,0,0,0,0,0.86527,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB15090,,,,,,,,,0.3077,0,0,0.00412,0,0,0,0,0,0,0,0,0,0,0.36704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90527,0,0,0,0,0,0.06079,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB1784,,,,,,,,,0.28469,0,0,0.15034,0,0,0,0,0,0,0,0,0,0,0.37092,0,0,0,0,0,0,0,0,0,0,0,0.13215,0,0,0,0,0,0,0,0.02466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60155,0,0,0,0,0,0.12056,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB15452,,,,,,,,,0.22235,0.01619,0,0.054,0,0,0,0,0,0,0.04817,0.0268,0,0,0.15981,0.92848,0,0,0,0,0,0,0.73015,0.02364,0,0,0.04744,0.71371,0.19307,0,0,0,0,0,0,0.30911,0.3099,0,0,0,0,0,0,0.35327,0,2.40521,0,0.08629,0.01315,0,0,0,0.0502,0,0,0.03337,0.02512,0,0,0,0.07555,0,0,0.0,0,0,0,0,0.04545,0.05667,0.52504,0.49126,0.04959,0,0.20975,0,0,0,0,0.01295
t__SGB4721,,,,,,,,,0.14738,0.06943,0.08312,0.01392,0,0,0,0,0,0,0.0054,0,0,0,0.05358,0,0,0,0,0,0,0.19765,0.04985,0,0,0,0,0.03569,0.08314,0,0,0,0,0,0,0.18969,0.09555,0,0,0,0,0,0,0.29541,0,1.11733,0,0.43357,0,0,0.13222,0,0,0,0,0.01264,0.00606,0,0,0,0,0,0,0.0,0,0,0,0,0.0092,0.14932,0.15605,0.0148,0,0,0.09925,0,0,0.03379,0,0
t__SGB2325,,,,,,,,,0.11173,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00814,0,0,0,0,0,0,0,0,0,0,0,0.00356,0,0,0,0,0,0,0,0.00704,0,0,0,0.04316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0207,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB14027,,,,,,,,,0.09948,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1526,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB14909,,,,,,,,,0.08337,0,0,0.09102,0,0,0,0,0,0,0,0,0,0,0.02801,0,0,0,0,0,0,0,0.34288,0,0,0,0,0,0.18873,0,0,0,0,0,0,0,0.24306,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14416,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.00956,0,0,0,0,0,0,0,0,0,0,0
t__SGB5182,,,,,,,,,0.05965,0,0,0,0,0,0,0,0,0,0.01239,0,0,0,0.13273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20023,0,0,0,0,0,0.04246,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03081,0,0
t__SGB4746,,,,,,,,,0.05564,0,0.22764,0,0,0,0,0,0,0,0,0,0,0,0.02326,0,0,0,0,0,0,0,0.51527,0,0,0,0,0.04185,0.01903,0.01874,0,0,0.01232,0,0,0.14564,0.06692,0,0,0,0,0,0,0.3324,0,1.40878,0.03573,0,0.0172,0,0.09409,0,0,0,0,0.02388,0.03111,0,0,0,0,0,0,0.0,0,0,0,0,0,0.13926,0.18894,0,0,0,0.05954,0.18793,0,0,0,0
t__SGB14737,,,,,,,,,0.04828,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03224,0,0,0,0,0,0.00883,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB14125,,,,,,,,,0.03978,0,0,0,0.12823,0,0,0.03553,0,0,0,0,0.05943,0,0.50063,0,0,0,0,0,0.05523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01225,0,0.64547,0,0,0,0,0.19882,0.04832,0,0,0,0,0,0,0.0,0.04951,0.01328,0,0,0,0,0,0,0,0.00138,0,0,0,0,0,0
t__SGB4701,,,,,,,,,0.03937,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04493,0,0,0.01271,0,0,0,0,0,0.17992,0,0.04403,0,0.29577,0,0,0,0,0.11871,0,0,0,0,0,0.01451,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00578,0,0,0,0,0,0,0,0,0
t__SGB15066,,,,,,,,,0.03265,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02231,0,0,0,0.03351,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB15073,,,,,,,,,0.03078,0,0,0,0,0,0,0,0,0,0,0.03657,0,0,0.19496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88545,0,0,0,0,0,0,0,0,0,0,0,0,0.01335,0,0,0,0,0.4234,0,0,0,0,0,0.05072,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB14037,,,,,,,,,0.02989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03383,0,0,0,0,0,0.27999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01898,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB3813,,,,,,,,,0.02566,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04216,0,0,0,0,0,0,0,0,0,0,0,0.0171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02799,0,0,0,0,0,0,0,0.04584,0.01612,0,0,0.0035,0,0,0,0,0,0,0,0,0.0,0,0,0,0.04123,0,0,0,0,0.03477,0,0,0,0,0,0.01691,0
t__SGB14963,,,,,,,,,0.02161,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01507,0,0.20647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.00372,0,0,0,0,0,0.02496,0,0,0,0,0,0,0,0,0
t__SGB4763,,,,,,,,,0.01685,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03639,0,0,0,0,0,0,0,0,0.00058,0,0,0,0,0,0,0,0.00559,0,0,0,0,0,0,0,0,0.00272,0,0,0,0,0,0,0,0,0,0.03451,0,0,0,0,0,0.00228,0,0,0.0117,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB6641,,,,,,,,,0.01678,0,0,0,0,0,0,0,0,0,0,0,0.0267,0,0.08202,0,0,0,0,0,0,0,0.10257,0,0,0,0,0,0.0412,0.07719,0,0,0,0,0,0,0.06222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01611,0,0,0,0,0,0.02409,0,0,0,0,0,0,0.0,0.0223,0.01942,0,0,0,0,0,0,0,0.00565,0,0.02951,0,0,0,0
t__SGB4620,,,,,,,,,0.01573,0,0,0,0,0,0.02522,0,0,0,0,0,0,0,0.04766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08956,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB53517,,,,,,,,,0.01568,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00624,0,0,0,0,0,0.00873,0,0,0,0,0,0,0,0.05715,0,0.00929,0,0,0,0,0.03367,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0329,0,0,0,0,0,0,0,0,0
t__SGB4677,,,,,,,,,0.01278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02585,0,0,0,0,0,0,0,0,0,0,0,0,0.02331,0,0,0,0,0.01435,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
