Abundance,HSM6XRT2,HSM7CZ2L,ESM5GEZ3,HSM5MD59,HSM67VFX,MSM9VZMQ,HSM67VGA,HSM5MD6U,HSM7CYYZ,ESM5GEYU,HSM5MD8B,MSM79H94,MSM6J2M3,HSM67VGE,HSM67VDX,HSM5MD6O,HSM5MD8N,HSM6XRQC,CSM79HGR,HSM5MD6G,HSM7CZ2J,MSM6J2PQ,PSM6XBTZ,HSM5MD82,HSM67VG2,HSM5MD6S,HSM5MD6I,HSM67VGI,HSM5MD5D,HSM6XRTG,HSM5MD6K,PSM7J19X,HSM5MD8H,HSM67VDR,HSM5MD8D,HSM5MD5F,HSM6XRSZ,HSM6XRTE,HSM6XRSX,MSM79H52,HSM5MD5B,ESM5GEZ1,HSM7CYYV,HSM5MD8P,HSM6XRT4,MSM79H8J,CSM6J2H9,MSM6J2JF,HSM5MD57,MSM79HCN,HSM67VG6,HSM6XRTC,HSM6XRT6,ESM5ME9H,HSM67VDT,MSM9VZFJ,HSM5MD8L,HSM7CYYR,HSMA33J1,HSM5MD6E,HSM5MD8A,HSM5MD5Z,MSM6J2JH,HSM6XRTA,ESM5MEBP
t__SGB3996,,,,,,,,,,0.02531,0,0,0,0,0.10645,0,0,0,0,0.0,0,0,0,0,0,0,0.07177,0,0,0,0.00131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00577,0,0,0,0,0,0,0,0,0,0
t__SGB15121,,,,,,,,,,0.02285,0,0,0,0,0,0,0,0,0,0.0,0,0.19663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB5736,,,,,,,,,,0.01003,0,0,0,0.01786,0.93093,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11731,0,0,0,0,0,0,0,0,0.17963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB14809,,,,,,,,,,0.00641,0,0,0,0,0.00148,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB4761,,,,,,,,,,0.00488,0.01198,0,0,0.02737,0.00192,0,0,0,0,0.0,0,0,0,0.00353,0,0,0,0,0.00397,0,0,0,0,0,0,0.00474,0,0.01125,0.01391,0,0,0.00736,0,0,0,0.00349,0,0,0,0,0,0,0.04627,0.00763,0,0,0,0,0,0,0,0,0,0.01102,0
t__SGB4630,,,,,,,,,,0.00439,0,0,0,0,0.01295,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00134,0,0,0,0
t__SGB4042,,,,,,,,,,0.00399,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1114,0,0,0,0,0,0,0,0,0,0,0.08901
t__SGB79883,,,,,,,,,,0.00232,0,0,0,0,0.0003,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.01705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB9737_group,,,,,,,,,,0.00226,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB4619,,,,,,,,,,0.00124,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06432,0,0,0,0,0,0,0,0,0,0,0.43167
t__SGB29435,,,,,,,,,,0.00077,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00168,0,0,0,0,0,0,0,0,0,0,0,0.00127,0,0,0,0,0,0,0,0,0,0,0
p__Bacteria_unclassified,,,,,,,,,,,0.01088,0,0,0.63354,0.03867,0,0,0,0,0.0,0,0.14177,0,0.04986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08676,0,0,0,0,0,0.00973,0,0,0,0,0,0,0,0,0,0,0,0,0
c__CFGB76763,,,,,,,,,,,0.01088,0,0,0.63354,0.03867,0,0,0,0,0.0,0,0.0505,0,0.04986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08676,0,0,0,0,0,0.00973,0,0,0,0,0,0,0,0,0,0,0,0,0
c__CFGB16911,,,,,,,,,,,0.0052,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c__CFGB3009,,,,,,,,,,,0.00146,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o__OFGB76763,,,,,,,,,,,0.01088,0,0,0.63354,0.03867,0,0,0,0,0.0,0,0.0505,0,0.04986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08676,0,0,0,0,0,0.00973,0,0,0,0,0,0,0,0,0,0,0,0,0
o__OFGB16911,,,,,,,,,,,0.0052,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o__OFGB3009,,,,,,,,,,,0.00146,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f__FGB76763,,,,,,,,,,,0.01088,0,0,0.63354,0.03867,0,0,0,0,0.0,0,0.0505,0,0.04986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08676,0,0,0,0,0,0.00973,0,0,0,0,0,0,0,0,0,0,0,0,0
f__FGB16911,,,,,,,,,,,0.0052,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f__FGB3009,,,,,,,,,,,0.00146,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB3497,,,,,,,,,,,0.0278,0,0,0,0,0,0.00241,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04032,0
g__GGB79973,,,,,,,,,,,0.01088,0,0,0.63354,0.03867,0,0,0,0,0.0,0,0.0505,0,0.04986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08676,0,0,0,0,0,0.00973,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Hydrogeniiclostidium,,,,,,,,,,,0.01073,0,0,0,0,0,0.00475,0,0,0.0,0,0,0,0.00457,0.00514,0,0,0,0.00586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01463,0,0,0.02479,0,0,0,0,0,0,0,0.00151,0,0,0,0,0,0
g__GGB49418,,,,,,,,,,,0.0052,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB9529,,,,,,,,,,,0.00309,0,0,0,0,0,0.01956,0,0,0.0,0,0,0,0.28224,0,0,0,0,0,0.00372,0,0,0,0,0,0,0,0,0,0.03769,0,0,0,0,0.01519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Coprobacillus,,,,,,,,,,,0.00275,0,0,0,0,0,0,0,0,0.0,0,0,0,0.02236,0.04427,0,0,0,0,0,0,0,0,0,0,0.00503,0,0.06061,0,0,0,0,0,0,0.08468,0,0,0,0,0,0.02385,0,0,0,0,0.01699,0,0,0,0,0.14882,0,0,0.04337,0
g__GGB9641,,,,,,,,,,,0.00183,0,0,0,0,0,0.01407,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00901,0
g__GGB9474,,,,,,,,,,,0.00146,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Candidatus_Allochristensenella,,,,,,,,,,,0.0013,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB3497_SGB4672,,,,,,,,,,,0.0278,0,0,0,0,0,0.00241,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04032,0
s__Clostridiales_bacterium_NSJ_32,,,,,,,,,,,0.01666,0,0,0,0,0,0,0,0,0.0,0,0,0,0.02307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB79973_SGB14341,,,,,,,,,,,0.01088,0,0,0.63354,0.03867,0,0,0,0,0.0,0,0.0505,0,0.04986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08676,0,0,0,0,0,0.00973,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Hydrogeniiclostidium_mannosilyticum,,,,,,,,,,,0.01073,0,0,0,0,0,0.00475,0,0,0.0,0,0,0,0.00457,0.00514,0,0,0,0.00586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01463,0,0,0.02479,0,0,0,0,0,0,0,0.00151,0,0,0,0,0,0
s__GGB49418_SGB69331,,,,,,,,,,,0.0052,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Lachnoclostridium_edouardi,,,,,,,,,,,0.0032,0,0,0.01391,0,0,0,0,0,0.0,0,0,0,0.00225,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00216,0.00649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01104,0,0,0,0,0,0,0,0,0
s__GGB9529_SGB53518,,,,,,,,,,,0.00309,0,0,0,0,0,0.01956,0,0,0.0,0,0,0,0.28224,0,0,0,0,0,0.00372,0,0,0,0,0,0,0,0,0,0.03769,0,0,0,0,0.01519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Coprobacillus_cateniformis,,,,,,,,,,,0.00275,0,0,0,0,0,0,0,0,0.0,0,0,0,0.02236,0.04427,0,0,0,0,0,0,0,0,0,0,0.00503,0,0.06061,0,0,0,0,0,0,0.08468,0,0,0,0,0,0.02385,0,0,0,0,0,0,0,0,0,0.14882,0,0,0.04337,0
s__GGB9641_SGB15117,,,,,,,,,,,0.00183,0,0,0,0,0,0.01407,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00901,0
s__GGB9474_SGB14868,,,,,,,,,,,0.00146,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Candidatus_Allochristensenella_caecavium,,,,,,,,,,,0.0013,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB9226,,,,,,,,,,,1.7514,0,0.035,0,0,0,4.97076,0,2.49066,0.0,0,0,0,0.05661,0,0,0,0,0,0,0,0,0.10338,0,0.67924,0,0,0.00779,0,0,0,0,0,0.19585,0,0,0,19.22701,0,4.82171,0,0,0,0,2.38611,0,0.20231,0,0,0.00909,0,0,0,0,0
t__SGB4672,,,,,,,,,,,0.0278,0,0,0,0,0,0.00241,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04032,0
t__SGB4438,,,,,,,,,,,0.01666,0,0,0,0,0,0,0,0,0.0,0,0,0,0.02307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB14341,,,,,,,,,,,0.01088,0,0,0.63354,0.03867,0,0,0,0,0.0,0,0.0505,0,0.04986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08676,0,0,0,0,0,0.00973,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB14890,,,,,,,,,,,0.01073,0,0,0,0,0,0.00475,0,0,0.0,0,0,0,0.00457,0.00514,0,0,0,0.00586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01463,0,0,0.02479,0,0,0,0,0,0,0,0.00151,0,0,0,0,0,0
t__SGB69331,,,,,,,,,,,0.0052,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB29433,,,,,,,,,,,0.0032,0,0,0.01391,0,0,0,0,0,0.0,0,0,0,0.00225,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00216,0.00649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01104,0,0,0,0,0,0,0,0,0
t__SGB53518,,,,,,,,,,,0.00309,0,0,0,0,0,0.01956,0,0,0.0,0,0,0,0.28224,0,0,0,0,0,0.00372,0,0,0,0,0,0,0,0,0,0.03769,0,0,0,0,0.01519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB6771,,,,,,,,,,,0.00275,0,0,0,0,0,0,0,0,0.0,0,0,0,0.02236,0.04427,0,0,0,0,0,0,0,0,0,0,0.00503,0,0.06061,0,0,0,0,0,0,0.08468,0,0,0,0,0,0.02385,0,0,0,0,0,0,0,0,0,0.14882,0,0,0.04337,0
t__SGB15117,,,,,,,,,,,0.00183,0,0,0,0,0,0.01407,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00901,0
t__SGB14868,,,,,,,,,,,0.00146,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB63369,,,,,,,,,,,0.0013,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c__CFGB1814,,,,,,,,,,,,0.00365,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o__OFGB1814,,,,,,,,,,,,0.00365,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f__FGB1814,,,,,,,,,,,,0.00365,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Butyricimonas,,,,,,,,,,,,0.38276,0.19056,0,0,0,0,0,0.34915,0.0,0,0.316,0,0,0,0,0,0,0,0,0.00898,0,0.02901,0,0,0,0,0,0,0.28714,0,0,0,0,0,0.13738,0,0,0,0,0,0,0,0,0,0.16272,0,0,1.51618,0,0,0,0.43031,0,0
g__GGB9739,,,,,,,,,,,,0.12844,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB79912,,,,,,,,,,,,0.0055,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB3537,,,,,,,,,,,,0.00421,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB4802,,,,,,,,,,,,0.00365,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Bacteroides_caecigallinarum,,,,,,,,,,,,37.08703,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Butyricimonas_paravirosa,,,,,,,,,,,,0.38276,0.04249,0,0,0,0,0,0.3425,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02405,0,0
s__Parabacteroides_sp_TM07_1AC,,,,,,,,,,,,0.27791,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Clostridiaceae_bacterium_Marseille_Q3526,,,,,,,,,,,,0.21619,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064,0,0,0,0,0,0,0.06914,0,0,0.02543,0,0,0,0,0,0
s__GGB9739_SGB15313,,,,,,,,,,,,0.12844,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB79912_SGB4550,,,,,,,,,,,,0.0055,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB3537_SGB4727,,,,,,,,,,,,0.00421,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB4802_SGB6641,,,,,,,,,,,,0.00365,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Gemmiger_SGB1481,,,,,,,,,,,,0.00347,0,0.00721,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Pseudoflavonifractor_gallinarum,,,,,,,,,,,,0.00044,0,0,0,0,0,0,0,0.0,0,0,0,0.00122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB1886,,,,,,,,,,,,37.08703,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB1785,,,,,,,,,,,,0.38276,0.04249,0,0,0,0,0,0.3425,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02405,0,0
t__SGB1939,,,,,,,,,,,,0.27791,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB4703,,,,,,,,,,,,0.21619,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064,0,0,0,0,0,0,0.06914,0,0,0.02543,0,0,0,0,0,0
t__SGB15313,,,,,,,,,,,,0.12844,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB4760,,,,,,,,,,,,0.01504,0,0.06302,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6.50554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB4550,,,,,,,,,,,,0.0055,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB4727,,,,,,,,,,,,0.00421,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB6641,,,,,,,,,,,,0.00365,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB1481,,,,,,,,,,,,0.00347,0,0.00721,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB29328,,,,,,,,,,,,0.00044,0,0,0,0,0,0,0,0.0,0,0,0,0.00122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Tenericutes,,,,,,,,,,,,,0.29029,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35414,0,0
p__Candidatus_Melainabacteria,,,,,,,,,,,,,0.17522,0,0,0,0,0,5.68675,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15312,0,0.03064,0,0,0,0,0,0,0,0,0,0.0743,0,0,0,0,0,0,0,0,0,0,0,0,0.83423,0,0
p__Lentisphaerae,,,,,,,,,,,,,0.04692,0,0,0,0,0,0,0.0,0,0.22823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c__CFGB4405,,,,,,,,,,,,,5.37294,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c__CFGB2403,,,,,,,,,,,,,4.82355,0,0,0,0,0,0,0.0,0,7.32901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c__CFGB31455,,,,,,,,,,,,,0.47607,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c__CFGB76420,,,,,,,,,,,,,0.32555,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c__CFGB529,,,,,,,,,,,,,0.3182,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c__CFGB4862,,,,,,,,,,,,,0.27537,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c__CFGB2932,,,,,,,,,,,,,0.26176,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c__Candidatus_Melainabacteria_unclassified,,,,,,,,,,,,,0.17522,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07968,0,0
c__Epsilonproteobacteria,,,,,,,,,,,,,0.16987,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02344,0,0
